month,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,1084,778,17727,728,4629,9880,3101,702,38433,473
2,1293,1287,19517,1336,6308,10707,3409,804,32094,552
3,2591,1561,23139,1695,6853,16454,4946,1290,39186,713
4,1740,969,18008,1000,5192,11716,3353,1000,31099,608
5,1178,1078,20616,1154,5932,13402,4585,1240,38106,644
6,683,864,14807,798,4262,9281,2711,764,29289,600
7,444,626,17984,661,4305,9915,2677,792,38021,600
8,447,739,23830,750,5639,13672,3811,960,56403,736
9,892,853,19192,786,5025,11626,3405,875,38865,632
10,1281,1341,21281,1394,6331,13296,4302,1216,38855,835
11,1869,1441,24073,1513,6991,14702,4819,1297,45130,894
12,984,1006,20232,1128,5268,10580,3773,857,41711,547
