,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.003,-0.001,-0.023,-0.001,-0.006,-0.015,0.001,0.002,-0.002,0.0
2010,0.003,0.004,0.076,0.002,0.008,-0.012,0.0,-0.0,0.009,0.0
2011,0.002,0.001,-0.005,0.006,-0.001,0.017,0.002,0.001,0.011,-0.0
2012,-0.004,0.003,0.025,-0.003,0.01,0.029,-0.001,-0.0,-0.015,0.0
2013,-0.001,-0.0,-0.004,-0.002,0.012,-0.013,0.001,0.0,-0.002,0.0
2014,-0.002,-0.006,-0.056,-0.004,-0.026,-0.032,-0.004,-0.003,-0.004,-0.0
2015,-0.001,0.004,-0.034,-0.006,-0.009,-0.03,-0.005,-0.003,-0.001,-0.0
2016,-0.0,-0.004,-0.027,0.001,-0.003,-0.013,0.002,0.002,-0.001,0.0
2017,0.002,0.003,0.057,0.005,0.023,0.022,0.009,0.004,0.01,0.002
2018,-0.005,-0.001,-0.062,-0.005,-0.015,-0.022,-0.008,-0.003,-0.012,-0.002
2019,-0.003,-0.004,-0.049,-0.002,-0.007,-0.017,-0.003,-0.001,-0.005,-0.0
2020,-0.016,-0.03,-0.199,-0.024,-0.039,0.012,-0.024,-0.013,-0.038,-0.003
2021,0.006,-0.001,-0.098,-0.009,-0.021,-0.018,-0.007,-0.002,-0.014,-0.0
2022,0.013,0.032,0.401,0.031,0.083,0.119,0.032,0.014,0.058,0.004
2023,0.001,0.003,-0.034,0.003,-0.011,-0.065,0.005,0.002,0.008,0.0
