,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.0,-0.001,-0.01,0.001,0.001,-0.031,-0.0,0.001,0.001,-0.001
2010,-0.001,-0.002,-0.036,-0.002,-0.016,-0.169,-0.01,-0.007,-0.004,0.0
2011,-0.001,0.001,0.027,0.004,0.03,0.173,0.016,0.013,0.006,-0.001
2012,0.0,0.001,0.015,0.0,-0.003,0.1,0.005,0.0,-0.001,0.001
2013,-0.001,-0.001,-0.004,-0.002,0.001,-0.008,-0.006,-0.001,-0.005,-0.0
2014,0.0,-0.001,-0.005,0.001,-0.012,-0.063,-0.007,-0.004,-0.001,0.0
2015,-0.001,0.001,0.007,-0.001,0.008,-0.008,-0.001,-0.001,0.002,0.0
2016,-0.001,-0.001,-0.004,-0.002,-0.01,-0.068,-0.004,-0.002,0.0,-0.0
2017,0.002,0.001,0.006,0.002,0.012,0.014,0.01,0.004,0.004,0.0
2018,-0.001,-0.001,-0.005,0.002,0.001,0.017,0.0,0.003,-0.002,0.0
2019,-0.0,0.001,0.022,0.001,0.007,-0.034,0.005,0.001,0.002,-0.0
2020,-0.004,-0.006,-0.101,-0.01,-0.043,-0.094,-0.03,-0.019,-0.015,-0.001
2021,0.0,-0.001,0.004,-0.002,-0.01,0.001,-0.007,-0.004,-0.005,-0.0
2022,0.002,0.005,0.068,0.008,0.047,0.181,0.025,0.018,0.009,0.001
2023,0.002,0.002,0.046,0.004,0.01,-0.072,0.009,0.007,0.007,0.001
