,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.001,-0.003,-0.018,-0.001,0.005,-0.027,0.003,0.004,-0.002,-0.001
2010,0.0,-0.002,-0.009,-0.005,-0.018,-0.12,-0.003,-0.002,-0.0,0.001
2011,-0.003,-0.005,-0.025,-0.001,0.027,0.069,-0.006,-0.003,-0.007,-0.002
2012,-0.001,0.001,-0.004,-0.0,-0.036,-0.008,-0.005,0.002,-0.002,0.001
2013,0.006,0.013,0.039,0.002,0.017,0.01,0.011,0.003,0.015,0.0
2014,-0.005,-0.008,-0.045,-0.004,-0.007,-0.116,-0.007,-0.003,-0.011,0.0
2015,-0.001,-0.001,-0.015,-0.001,-0.041,-0.129,-0.009,-0.003,-0.007,0.001
2016,0.003,0.006,0.038,0.002,0.051,0.114,0.003,0.002,0.005,-0.001
2017,0.001,-0.001,-0.004,-0.003,-0.021,-0.004,0.0,-0.004,0.002,0.0
2018,-0.002,-0.001,0.003,0.002,0.01,0.02,-0.003,-0.001,0.001,-0.001
2019,0.001,-0.004,-0.007,0.001,-0.017,0.061,-0.0,-0.001,-0.002,-0.0
2020,-0.006,-0.008,-0.061,-0.01,-0.055,-0.164,-0.015,-0.012,-0.014,-0.001
2021,-0.001,-0.001,-0.009,-0.001,-0.01,-0.083,-0.001,-0.002,-0.003,-0.0
2022,0.003,0.003,0.042,0.003,0.012,-0.076,0.005,0.005,0.006,0.001
2023,0.0,0.001,0.008,0.002,-0.0,-0.068,0.004,0.002,0.004,-0.0
