,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.0,-0.003,-0.129,0.003,0.002,-0.002,-0.0,0.001,-0.003,-0.001
2010,-0.008,-0.02,-0.124,-0.018,-0.016,-0.015,-0.007,-0.006,-0.012,-0.001
2011,-0.003,0.007,0.066,0.005,-0.007,0.005,-0.004,-0.004,-0.011,0.0
2012,0.01,0.008,0.147,0.005,0.01,0.012,0.008,0.001,0.007,0.0
2013,0.001,0.003,0.096,0.005,0.004,0.003,0.001,0.002,0.005,0.001
2014,0.006,-0.011,-0.091,-0.008,0.001,-0.001,-0.0,-0.0,-0.001,-0.0
2015,0.01,0.016,0.012,0.017,0.005,0.017,0.008,0.01,0.02,-0.001
2016,-0.013,-0.009,-0.032,-0.006,0.005,-0.006,0.002,-0.007,-0.011,0.002
2017,0.002,0.017,-0.003,0.007,0.009,0.006,-0.004,0.0,0.007,0.0
2018,-0.002,-0.001,-0.021,-0.001,0.001,0.005,0.001,0.001,-0.005,-0.001
2019,0.001,-0.002,0.15,-0.003,0.016,0.01,-0.002,0.0,-0.003,-0.0
2020,-0.011,-0.035,-0.262,-0.02,-0.03,-0.036,-0.011,-0.006,-0.016,-0.002
2021,-0.001,0.013,0.141,0.006,0.008,0.017,0.001,-0.0,0.001,-0.0
2022,0.006,0.008,0.231,0.008,-0.008,-0.016,0.005,0.003,0.01,0.001
2023,0.003,0.013,-0.235,0.011,0.006,0.014,0.002,0.001,0.007,0.001
