,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.005,-0.003,-0.073,-0.004,-0.013,-0.013,-0.018,-0.007,-0.2,-0.001
2010,0.001,-0.003,-0.044,-0.001,-0.003,0.02,-0.008,-0.008,-0.047,-0.001
2011,-0.004,-0.003,-0.037,-0.001,-0.016,0.01,0.011,0.004,0.061,0.0
2012,0.002,0.005,0.087,0.001,0.009,0.008,-0.005,-0.002,-0.002,-0.0
2013,-0.004,-0.004,-0.087,-0.002,-0.016,-0.072,-0.022,-0.01,-0.15,-0.003
2014,0.007,0.005,0.061,-0.002,0.007,0.014,0.011,0.003,0.079,0.001
2015,-0.001,0.004,0.014,0.005,0.011,0.048,0.136,0.055,0.602,0.004
2016,0.001,-0.0,0.037,0.0,0.004,0.013,0.055,0.01,0.414,0.0
2017,0.0,0.0,0.006,0.001,0.002,0.004,0.02,0.007,0.04,0.001
2018,0.0,0.0,0.01,0.002,0.001,0.002,-0.003,0.001,0.009,-0.001
2019,0.001,-0.0,0.004,-0.0,0.003,0.016,0.004,-0.001,0.007,0.001
2020,-0.003,-0.003,-0.035,-0.004,-0.01,-0.023,-0.063,-0.025,-0.169,-0.003
2021,-0.001,-0.0,-0.018,-0.002,-0.006,-0.025,-0.012,-0.003,-0.069,-0.0
2022,0.003,0.004,0.071,0.005,0.019,0.044,0.049,0.015,0.231,0.004
2023,0.001,0.001,-0.005,0.001,0.002,-0.007,0.001,0.004,-0.147,0.0
2024,0.0,-0.001,-0.008,-0.0,0.001,0.002,0.002,0.002,-0.009,0.02
