,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.001,0.002,-0.021,-0.001,-0.001,-0.002,0.001,0.002,-0.004,0.001
2010,0.004,0.003,0.124,0.013,0.024,-0.052,0.008,0.001,0.008,-0.001
2011,-0.002,-0.005,-0.116,-0.012,-0.023,0.057,-0.015,-0.001,-0.008,0.0
2012,-0.004,-0.003,0.044,0.002,-0.002,-0.081,0.002,-0.002,0.001,-0.0
2013,0.002,-0.003,-0.033,-0.001,-0.006,0.007,-0.001,-0.001,-0.006,0.0
2014,-0.003,-0.003,0.025,-0.006,-0.001,-0.0,-0.004,-0.001,-0.002,-0.0
2015,0.007,0.01,0.027,0.005,0.026,0.007,0.011,0.006,0.014,0.001
2016,0.004,0.004,-0.024,0.0,0.006,0.028,0.007,0.002,-0.001,0.001
2017,-0.002,0.0,-0.023,-0.001,-0.009,-0.074,-0.0,0.002,-0.001,-0.001
2018,0.001,0.002,-0.027,0.003,-0.0,-0.028,0.004,0.002,0.007,0.002
2019,-0.008,-0.016,-0.045,-0.01,-0.022,-0.019,-0.015,-0.008,-0.022,-0.002
2020,-0.009,-0.017,-0.214,-0.016,-0.011,0.096,-0.02,-0.007,-0.018,-0.002
2021,0.009,0.001,-0.001,-0.001,0.021,0.088,0.003,-0.001,-0.0,-0.001
2022,0.009,0.007,0.281,0.023,0.058,0.238,0.016,0.012,0.019,0.003
2023,-0.0,0.001,0.053,-0.002,-0.004,-0.065,-0.001,-0.004,0.008,-0.0
2024,-0.002,-0.001,-0.062,-0.004,-0.008,-0.02,-0.001,-0.002,-0.008,-0.0
