,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.0,-0.047,-0.003,-0.002,-0.001,-0.004,-0.001,-0.0,0.0,0.0
2010,-0.003,-0.106,-0.056,-0.008,-0.005,-0.006,-0.001,-0.0,-0.002,-0.0
2011,-0.004,-0.12,-0.123,0.029,0.002,0.012,0.001,0.001,0.021,-0.0
2012,0.011,0.274,0.182,-0.017,0.008,0.0,0.0,-0.0,-0.023,0.001
2013,-0.003,-0.02,-0.032,-0.007,0.002,-0.001,0.002,0.0,0.004,-0.0
2014,-0.002,-0.011,-0.011,-0.003,-0.002,-0.004,-0.002,-0.001,-0.002,0.0
2015,-0.001,-0.076,-0.007,-0.002,-0.001,-0.001,-0.0,0.0,0.002,-0.0
2016,0.007,-0.062,0.004,-0.001,0.0,0.003,0.003,-0.0,-0.001,-0.0
2017,-0.004,-0.024,-0.043,-0.002,-0.002,-0.002,-0.001,0.001,0.003,0.001
2018,-0.002,-0.011,0.008,0.005,0.001,0.0,-0.002,-0.001,-0.002,-0.0
2019,-0.001,-0.054,-0.038,-0.006,-0.003,-0.004,-0.001,-0.0,-0.007,-0.0
2020,-0.009,-0.105,-0.125,-0.015,-0.015,-0.018,-0.005,-0.002,-0.005,-0.0
2021,-0.001,-0.102,-0.03,-0.007,-0.004,-0.004,0.0,-0.0,-0.002,-0.0
2022,0.007,0.148,0.122,0.01,0.014,0.018,0.006,0.001,0.009,0.001
2023,0.005,-0.009,0.103,0.012,0.015,0.015,0.004,0.001,0.006,0.0
2024,0.008,0.074,0.084,0.002,0.006,0.009,0.001,0.001,-0.003,0.0
