,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.004,-0.008,-0.052,-0.078,-0.025,-0.013,-0.006,-0.001,-0.013,-0.001
2010,-0.003,0.003,-0.023,-0.119,-0.072,-0.039,-0.008,0.001,0.005,0.001
2011,0.0,0.001,0.065,0.112,0.055,0.036,0.002,0.005,-0.002,0.0
2012,-0.002,0.011,0.032,-0.049,0.004,-0.002,-0.002,-0.004,-0.002,0.001
2013,0.001,-0.006,-0.052,-0.034,-0.018,-0.032,0.004,-0.002,-0.0,0.0
2014,-0.003,-0.011,0.008,-0.002,-0.008,0.02,-0.004,-0.001,-0.001,-0.001
2015,0.001,-0.008,-0.047,-0.048,-0.021,-0.018,-0.003,-0.001,-0.001,-0.002
2016,0.001,0.005,-0.05,0.019,-0.026,-0.033,0.006,0.003,0.012,0.0
2017,0.003,0.003,0.002,0.024,-0.011,0.02,0.002,0.002,0.008,0.002
2018,-0.001,-0.006,-0.063,-0.083,-0.03,-0.03,-0.007,-0.004,-0.008,-0.002
2019,0.006,0.005,0.158,0.28,0.072,0.085,0.007,0.003,-0.006,0.002
2020,-0.006,-0.01,-0.144,-0.001,-0.037,-0.036,-0.005,-0.002,-0.007,-0.002
2021,-0.002,0.003,0.02,0.02,-0.01,-0.033,-0.002,-0.001,-0.004,0.0
2022,0.006,0.004,0.226,0.161,0.087,0.067,0.009,0.002,0.011,0.002
2023,0.002,0.001,-0.019,-0.059,-0.002,-0.001,-0.0,0.0,-0.003,-0.001
