,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,0.0,-0.018,0.01,0.006,0.003,0.002,-0.0,0.0,-0.001,0.0
2010,-0.001,0.013,-0.036,-0.012,0.002,-0.005,-0.0,0.001,-0.0,0.0
2011,-0.003,0.021,-0.079,-0.008,-0.01,-0.004,-0.0,0.001,-0.002,-0.0
2012,0.001,-0.097,0.021,0.004,0.01,0.003,0.002,-0.002,0.001,-0.0
2013,0.002,0.033,0.012,-0.008,-0.005,-0.001,-0.003,-0.001,0.0,-0.0
2014,0.001,0.039,0.065,-0.005,0.003,0.003,0.003,0.0,0.002,0.0
2015,0.003,0.118,0.03,0.026,0.005,0.017,0.002,0.001,0.002,-0.0
2016,-0.0,0.0,-0.002,0.009,0.005,-0.004,-0.001,0.001,-0.002,0.0
2017,0.0,-0.03,-0.005,-0.001,0.001,-0.001,-0.0,-0.001,0.002,0.0
2018,-0.0,-0.039,0.004,-0.012,-0.005,-0.002,-0.001,-0.0,-0.001,0.0
2019,-0.001,-0.015,-0.015,-0.006,0.005,0.003,-0.0,0.0,-0.0,-0.0
2020,-0.003,-0.163,-0.153,-0.025,-0.014,-0.014,-0.002,-0.002,-0.003,-0.001
2021,0.0,-0.088,-0.051,-0.033,-0.009,-0.011,-0.001,-0.0,-0.0,-0.0
2022,-0.0,-0.006,0.065,0.015,0.012,0.013,0.0,0.001,0.003,0.001
2023,0.004,-0.074,0.047,0.006,0.004,0.005,0.007,0.0,-0.0,0.001
2024,-0.005,-0.135,-0.123,0.004,-0.013,-0.015,-0.007,0.0,-0.002,-0.001
