,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.001,-0.0,-0.057,0.002,0.009,0.003,0.003,0.0,-0.0,0.0
2010,0.0,-0.0,-0.128,-0.014,-0.062,0.013,-0.003,-0.001,-0.001,0.0
2011,-0.001,0.0,0.012,0.0,-0.021,-0.038,0.001,0.002,-0.001,-0.001
2012,0.001,-0.002,0.015,0.017,0.058,0.012,-0.001,-0.0,0.001,0.001
2013,0.001,0.009,0.048,-0.005,0.032,0.033,0.003,0.003,0.001,0.0
2014,-0.0,-0.002,0.038,0.003,-0.019,0.016,-0.0,-0.002,0.0,0.0
2015,0.001,-0.001,0.008,-0.005,-0.024,-0.019,0.0,0.0,0.001,0.0
2016,0.001,-0.003,0.013,0.0,-0.008,-0.021,-0.001,-0.0,0.002,0.0
2017,0.0,-0.002,0.041,0.002,-0.005,-0.002,-0.001,-0.0,-0.003,-0.0
2018,-0.0,0.004,0.051,0.008,-0.01,-0.001,0.002,-0.0,0.002,0.001
2019,-0.002,-0.005,-0.122,0.001,-0.014,-0.009,-0.001,-0.001,-0.002,-0.0
2020,-0.002,-0.005,-0.337,-0.035,-0.048,-0.031,-0.005,-0.001,-0.003,-0.001
2021,0.001,0.004,0.023,-0.006,0.016,0.017,0.001,-0.0,-0.002,-0.0
2022,0.002,0.001,0.148,0.009,0.015,0.01,0.004,0.002,0.002,0.001
2023,0.004,0.003,0.014,0.01,-0.013,0.005,0.0,0.001,0.004,0.0
2024,-0.004,-0.002,-0.155,-0.009,-0.017,-0.019,-0.002,-0.0,-0.003,0.0
