,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.002,-0.001,0.01,-0.007,0.006,0.011,0.002,0.002,0.002,0.0
2010,-0.0,-0.003,-0.029,-0.011,-0.063,-0.019,0.002,-0.003,0.003,0.001
2011,0.001,0.0,0.038,0.012,0.102,0.001,0.0,-0.003,-0.005,-0.001
2012,0.003,0.008,0.036,0.003,0.01,0.058,0.0,0.007,0.005,0.001
2013,0.0,-0.002,0.014,0.003,0.009,-0.001,0.0,-0.001,-0.002,0.0
2014,0.0,-0.002,-0.038,0.003,-0.031,-0.028,-0.004,-0.004,-0.002,-0.001
2015,0.0,-0.001,-0.0,-0.007,0.023,0.017,-0.001,0.002,0.003,0.001
2016,0.001,0.001,0.014,0.001,-0.012,-0.007,-0.002,0.003,-0.0,-0.0
2017,-0.002,-0.001,-0.001,-0.002,-0.033,-0.008,-0.001,-0.004,-0.0,0.001
2018,-0.001,-0.002,-0.04,-0.004,-0.06,-0.032,-0.004,-0.001,-0.004,-0.0
2019,-0.0,0.001,0.021,0.0,0.102,0.015,0.006,0.002,0.003,-0.0
2020,-0.005,-0.007,-0.1,-0.022,-0.128,-0.065,-0.014,-0.006,-0.009,-0.001
2021,-0.001,-0.001,-0.041,-0.014,-0.089,-0.039,-0.003,-0.002,-0.003,-0.001
2022,0.004,0.004,0.123,0.044,0.272,0.102,0.01,0.005,0.007,0.002
2023,0.0,0.002,0.016,0.002,-0.123,0.004,0.001,0.003,0.004,0.0
2024,0.001,0.002,0.016,0.007,0.008,0.007,0.003,-0.002,0.001,-0.0
