,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,0.0,0.004,-0.0,0.002,0.003,0.066,-0.041,0.007,0.003,0.002
2010,-0.003,-0.001,-0.023,-0.009,-0.009,-0.157,-0.143,-0.009,-0.002,-0.002
2011,-0.002,-0.005,0.04,0.003,0.016,0.009,-0.058,0.003,0.002,0.002
2012,0.002,0.006,0.017,-0.001,0.002,0.064,0.025,0.019,0.006,-0.001
2013,-0.0,0.003,0.031,0.0,0.001,0.034,0.036,0.0,-0.001,0.004
2014,0.002,0.002,0.039,0.0,0.017,-0.003,0.012,0.006,0.012,-0.001
2015,0.004,0.001,0.006,0.003,0.02,0.022,0.003,0.006,0.0,0.0
2016,0.0,0.004,-0.013,0.003,-0.022,-0.019,-0.014,-0.006,0.004,0.001
2017,0.001,-0.004,0.013,-0.006,-0.004,-0.002,-0.02,0.001,-0.005,-0.002
2018,-0.006,-0.003,-0.024,-0.001,-0.003,-0.026,-0.012,-0.008,-0.006,-0.001
2019,-0.001,0.002,-0.015,0.001,-0.002,-0.01,0.001,-0.002,-0.001,0.002
2020,-0.007,-0.009,-0.109,-0.008,-0.016,-0.062,-0.021,-0.011,-0.01,-0.004
2021,-0.002,-0.002,-0.033,-0.002,-0.0,-0.038,-0.045,-0.012,-0.009,-0.001
2022,0.006,0.005,0.134,0.006,0.025,0.089,-0.019,0.019,0.015,0.001
2023,0.011,0.014,0.019,0.005,0.007,-0.01,-0.033,-0.002,0.011,0.003
