,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.004,-0.004,-0.07,-0.003,-0.014,-0.066,-0.011,-0.05,-0.01,-0.0
2010,-0.006,-0.005,-0.064,-0.01,-0.018,-0.242,-0.028,-0.076,-0.01,-0.001
2011,-0.006,-0.01,-0.015,-0.005,-0.008,-0.066,-0.013,0.023,-0.004,-0.002
2012,0.011,0.01,-0.009,0.008,0.042,0.085,-0.01,-0.103,0.012,0.002
2013,0.002,0.017,0.079,0.003,0.058,0.165,0.017,0.119,-0.005,0.001
2014,0.001,0.001,0.028,0.005,-0.038,0.197,0.015,0.042,0.019,0.002
2015,0.001,-0.002,0.004,0.007,-0.002,-0.016,0.011,0.01,-0.008,0.001
2016,0.003,0.004,0.022,-0.002,0.017,-0.0,0.001,-0.04,0.008,-0.002
2017,-0.002,0.0,0.009,-0.004,0.002,-0.031,0.001,-0.005,0.002,0.0
2018,-0.003,-0.005,0.003,0.0,-0.01,-0.018,-0.012,-0.004,-0.007,-0.0
2019,0.0,-0.002,0.026,-0.001,-0.0,-0.039,-0.0,0.001,0.006,-0.0
2020,-0.006,-0.01,-0.135,-0.011,-0.025,-0.092,-0.013,-0.011,-0.015,-0.001
2021,-0.006,-0.003,0.003,-0.002,0.005,0.025,-0.006,0.06,-0.01,-0.001
2022,0.01,0.009,0.187,0.01,0.045,0.161,0.049,-0.012,0.021,0.003
2023,0.006,0.006,0.025,0.004,0.004,-0.01,0.001,-0.037,0.004,0.001
