,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.002,-0.0,0.001,0.004,0.01,0.015,0.045,0.004,0.004,-0.0
2010,0.003,-0.0,-0.019,-0.0,-0.003,0.036,-0.015,0.026,0.002,0.0
2011,0.0,-0.006,-0.008,-0.006,0.006,0.002,0.005,0.031,-0.007,-0.002
2012,0.003,0.011,0.034,0.014,0.026,0.047,0.037,0.01,0.024,0.004
2013,-0.004,0.003,-0.035,-0.011,-0.02,-0.074,-0.024,-0.032,-0.014,-0.003
2014,-0.002,-0.008,0.034,0.0,-0.011,0.001,-0.03,-0.021,-0.01,0.0
2015,0.002,0.001,0.04,0.004,0.01,0.033,0.021,0.022,0.011,0.001
2016,0.0,0.004,0.046,0.004,0.016,0.062,0.032,0.016,0.009,0.001
2017,0.002,0.004,0.011,0.002,0.011,-0.037,-0.011,-0.016,0.006,-0.0
2018,0.001,-0.0,-0.012,-0.001,-0.01,-0.008,-0.009,-0.02,-0.006,-0.0
2019,0.001,0.001,0.015,0.001,-0.0,-0.011,0.008,-0.012,0.004,-0.001
2020,-0.01,-0.016,-0.148,-0.011,-0.034,-0.067,-0.044,0.006,-0.024,-0.001
2021,-0.003,-0.0,-0.071,-0.005,-0.023,-0.09,-0.057,-0.092,-0.012,-0.001
2022,0.008,0.014,0.228,0.014,0.046,0.114,0.067,0.047,0.023,0.002
2023,0.01,0.002,0.024,0.004,0.013,-0.007,0.004,-0.018,0.006,0.001
