,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,0.0,-0.0,-0.029,-0.007,0.004,-0.017,0.001,0.0,-0.002,0.001
2010,-0.001,0.001,0.011,0.001,-0.036,-0.001,0.003,0.001,0.003,-0.001
2011,-0.0,-0.002,-0.032,0.002,-0.005,-0.005,-0.004,-0.002,-0.005,0.0
2012,0.001,0.001,0.021,-0.005,-0.019,-0.006,-0.0,0.0,0.002,-0.001
2013,0.001,0.004,-0.006,0.004,-0.005,-0.003,0.002,0.001,0.002,0.0
2014,-0.0,-0.001,-0.002,-0.002,0.009,0.002,-0.001,-0.0,-0.0,0.0
2015,-0.002,-0.002,-0.006,-0.005,-0.047,0.002,-0.001,-0.0,0.002,0.0
2016,-0.002,-0.002,-0.082,-0.007,-0.079,-0.027,-0.003,-0.002,-0.009,-0.001
2017,0.001,0.001,0.025,0.005,0.014,0.017,0.002,0.001,0.003,0.0
2018,-0.003,-0.001,-0.066,-0.006,-0.027,-0.02,-0.002,-0.001,-0.004,0.0
2019,0.001,0.0,0.008,0.001,-0.051,-0.001,0.0,0.001,-0.001,0.0
2020,-0.006,-0.008,-0.133,-0.018,-0.131,-0.033,-0.009,-0.005,-0.008,-0.002
2021,-0.003,-0.002,-0.061,-0.012,-0.041,-0.022,-0.003,-0.002,-0.007,0.001
2022,0.017,0.004,0.085,0.019,0.006,0.049,0.006,0.006,0.013,0.014
2023,-0.009,0.002,0.024,0.007,-0.099,-0.004,0.002,0.0,-0.0,-0.008
2024,-0.005,0.001,0.007,0.003,-0.001,0.011,0.005,0.001,-0.0,-0.003
