,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.0,-0.002,0.073,0.004,-0.005,0.003,0.0,-0.0,0.001,0.001
2010,-0.0,-0.017,-0.201,-0.008,-0.006,-0.006,-0.001,-0.0,-0.002,-0.0
2011,-0.004,0.0,0.11,-0.011,-0.01,-0.004,-0.003,-0.002,-0.004,-0.001
2012,0.002,0.024,-0.04,0.009,0.011,0.002,0.002,0.001,0.002,0.0
2013,0.001,-0.002,0.017,0.001,-0.002,0.005,0.0,0.001,0.001,0.0
2014,-0.001,-0.003,-0.069,-0.003,-0.006,-0.003,-0.001,-0.0,-0.001,-0.0
2015,0.0,0.008,0.025,0.0,-0.003,-0.007,-0.001,-0.001,-0.001,-0.0
2016,0.002,0.005,0.025,-0.001,0.004,0.005,0.001,0.001,0.004,-0.0
2017,-0.001,-0.007,-0.085,0.005,0.007,0.001,0.0,-0.001,0.004,0.0
2018,0.001,0.004,0.06,0.001,0.003,0.0,0.001,0.001,0.001,0.0
2019,-0.001,-0.002,-0.035,-0.005,-0.007,0.001,-0.001,-0.001,-0.002,-0.0
2020,-0.003,-0.029,-0.264,-0.013,-0.01,-0.009,-0.003,-0.001,-0.008,-0.0
2021,-0.0,-0.014,-0.018,-0.004,-0.003,-0.004,-0.0,-0.0,-0.003,0.0
2022,0.001,0.037,0.3,0.008,0.005,0.004,0.001,0.001,0.003,0.0
2023,0.002,0.024,0.142,0.009,0.003,0.009,0.0,0.0,0.0,0.0
2024,0.006,0.005,0.075,0.003,0.003,-0.003,0.0,0.0,0.001,0.0
