,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.005,-0.007,-0.081,-0.005,-0.012,-0.037,-0.006,-0.003,-0.008,-0.003
2010,-0.007,-0.006,-0.071,-0.004,-0.012,-0.03,-0.003,-0.001,-0.012,0.002
2011,0.001,-0.001,0.033,0.002,-0.003,0.022,0.002,-0.0,0.0,0.011
2012,-0.006,0.002,-0.038,-0.003,-0.014,-0.025,-0.002,-0.002,0.002,0.001
2013,0.006,0.0,0.007,0.001,0.006,0.002,0.0,0.001,-0.001,-0.007
2014,-0.006,-0.002,-0.063,-0.002,-0.012,-0.032,-0.002,-0.0,-0.013,-0.01
2015,-0.002,-0.004,0.001,-0.002,-0.006,0.017,-0.0,-0.002,0.004,-0.005
2016,0.001,0.003,0.071,-0.0,0.008,0.021,0.002,0.001,0.009,0.011
2017,0.002,0.0,-0.024,0.002,0.005,-0.005,0.001,0.002,0.0,-0.027
2018,-0.004,-0.001,0.037,0.0,-0.0,0.003,-0.003,-0.003,-0.004,-0.002
2019,0.004,0.002,0.043,0.001,0.009,0.005,0.005,0.002,0.005,0.017
2020,-0.016,-0.013,-0.256,-0.015,-0.056,-0.078,-0.017,-0.009,-0.031,0.019
2021,0.001,-0.004,-0.002,-0.002,-0.011,-0.013,-0.004,-0.002,-0.016,0.024
2022,0.012,0.013,0.386,0.014,0.077,0.138,0.02,0.008,0.046,-0.003
2023,0.007,0.006,0.027,0.006,0.008,-0.003,0.005,0.005,0.003,-0.034
2024,-0.002,-0.002,-0.069,-0.001,-0.008,-0.012,-0.002,0.0,-0.003,-0.004
