,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.002,-0.008,-0.014,0.028,0.019,-0.01,-0.001,-0.003,-0.004,-0.0
2010,0.002,0.006,-0.031,-0.095,-0.076,-0.025,-0.001,-0.001,0.001,0.0
2011,-0.002,-0.005,0.052,0.043,0.035,0.014,-0.001,0.0,0.0,-0.0
2012,0.002,0.005,-0.004,0.032,0.005,-0.007,0.002,0.002,0.001,0.002
2013,-0.001,-0.008,-0.051,-0.023,-0.022,-0.018,-0.002,-0.004,0.002,-0.0
2014,0.0,0.003,-0.02,0.004,0.016,0.015,-0.0,0.001,-0.001,-0.0
2015,0.001,0.007,0.193,-0.057,-0.008,-0.007,0.003,0.005,0.003,-0.0
2016,0.0,0.002,0.006,-0.009,-0.028,-0.02,0.002,-0.003,-0.001,-0.0
2017,-0.003,-0.005,-0.045,0.054,0.022,0.014,-0.003,-0.001,0.002,-0.001
2018,-0.002,-0.001,-0.041,-0.027,-0.015,-0.001,-0.001,-0.0,-0.003,-0.001
2019,0.0,-0.005,-0.011,0.031,0.029,0.01,-0.0,0.0,0.002,0.0
2020,-0.006,-0.013,-0.143,-0.094,-0.086,-0.078,-0.011,-0.005,-0.012,-0.002
2021,-0.001,0.003,-0.051,-0.071,-0.007,-0.022,-0.001,-0.001,-0.007,-0.001
2022,0.011,0.006,0.228,0.062,0.059,0.052,0.022,0.004,0.011,0.002
2023,-0.001,0.001,-0.018,-0.077,-0.012,0.008,-0.007,0.002,0.005,0.005
