,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.0,-0.008,-0.033,0.01,-0.001,-0.004,-0.0,-0.0,-0.003,0.0
2010,-0.001,-0.139,-0.339,-0.029,-0.012,-0.004,-0.001,-0.001,-0.001,-0.001
2011,0.001,0.165,-0.083,-0.027,-0.001,0.017,0.006,0.001,0.015,-0.001
2012,0.001,-0.039,0.172,0.026,0.007,-0.005,-0.001,0.001,-0.01,-0.0
2013,-0.002,-0.078,0.036,-0.005,-0.003,-0.007,-0.002,-0.0,-0.0,-0.0
2014,0.0,-0.0,-0.034,-0.01,-0.004,-0.001,0.0,0.001,0.001,0.0
2015,0.0,0.109,0.159,0.007,0.012,0.007,0.002,0.002,0.009,0.0
2016,0.002,0.015,0.045,0.012,0.003,0.005,0.005,-0.001,-0.002,0.001
2017,-0.0,0.015,0.104,0.001,0.001,0.004,-0.001,-0.0,0.006,-0.0
2018,-0.0,-0.011,0.026,0.012,0.001,0.003,-0.003,-0.0,-0.004,-0.0
2019,-0.001,-0.054,-0.047,-0.017,-0.003,-0.005,-0.002,-0.0,-0.0,-0.0
2020,-0.003,-0.034,-0.193,-0.008,-0.008,-0.005,-0.002,-0.001,-0.006,-0.0
2021,0.001,-0.012,-0.067,-0.01,-0.0,-0.006,0.0,-0.0,-0.002,0.0
2022,0.004,0.082,0.211,0.018,0.01,0.014,0.003,0.002,0.007,0.001
2023,-0.001,0.022,0.277,0.012,0.004,0.0,0.002,0.0,0.001,0.0
