,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.0,-0.064,-0.043,-0.003,0.003,0.001,-0.002,-0.002,-0.001,-0.0
2010,-0.006,-0.134,-0.165,-0.022,-0.035,-0.023,-0.002,-0.0,-0.001,0.001
2011,-0.043,-0.057,-0.088,-0.003,-0.039,-0.038,-0.006,-0.004,-0.007,-0.003
2012,0.031,-0.078,0.071,0.001,-0.005,0.003,-0.001,-0.001,0.0,0.0
2013,-0.01,-0.077,-0.01,0.001,-0.002,-0.008,0.0,0.0,-0.003,-0.0
2014,0.006,-0.036,0.009,0.007,0.005,0.001,0.003,0.001,-0.001,0.0
2015,0.003,0.055,0.078,-0.002,0.005,0.006,0.001,0.001,0.009,0.001
2016,-0.005,0.123,0.002,-0.005,0.0,0.039,-0.0,-0.0,-0.002,0.0
2017,-0.002,-0.03,-0.004,0.001,-0.002,-0.014,0.001,0.0,0.001,0.001
2018,0.006,-0.028,0.055,-0.002,0.001,-0.008,0.001,0.001,0.001,-0.0
2019,-0.007,-0.013,-0.01,0.002,-0.002,-0.003,-0.001,-0.001,-0.002,0.0
2020,-0.016,-0.102,-0.203,-0.008,-0.008,-0.01,-0.003,-0.002,-0.006,-0.001
2021,0.007,0.155,-0.014,0.003,0.004,0.004,0.001,0.001,0.003,-0.0
2022,0.023,-0.107,0.041,0.008,0.011,0.014,0.005,0.003,0.008,0.002
2023,-0.004,-0.149,-0.047,-0.004,0.005,0.01,0.001,0.001,0.005,-0.002
2024,-0.014,-0.126,-0.12,-0.011,-0.016,-0.033,-0.007,-0.005,-0.013,-0.0
