,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,-0.0,0.001,-0.056,0.003,-0.005,-0.003,0.001,-0.002,0.002,-0.0
2010,0.0,-0.003,-0.145,-0.015,-0.023,-0.005,-0.002,-0.0,-0.005,-0.0
2011,-0.001,0.002,0.152,0.009,-0.005,-0.01,-0.001,0.0,-0.003,-0.0
2012,-0.0,0.018,-0.023,0.019,0.016,-0.0,0.002,-0.0,0.0,0.0
2013,0.001,-0.013,-0.104,-0.024,-0.006,0.001,0.003,0.0,0.004,0.0
2014,-0.001,-0.002,-0.189,-0.009,-0.012,-0.006,-0.005,-0.002,-0.004,-0.0
2015,0.002,0.012,0.092,0.009,0.019,0.013,0.002,0.001,-0.001,-0.0
2016,0.0,-0.001,-0.089,-0.002,-0.001,-0.001,-0.002,0.001,0.001,-0.0
2017,0.001,-0.009,-0.001,-0.004,-0.022,-0.011,-0.001,-0.001,0.001,0.0
2018,-0.0,0.0,0.132,0.006,-0.001,-0.0,0.001,-0.0,0.001,-0.0
2019,0.001,-0.0,-0.126,-0.013,-0.006,-0.0,0.0,0.001,-0.0,0.001
2020,-0.004,-0.016,-0.165,-0.032,-0.03,-0.007,-0.003,-0.002,-0.004,-0.001
2021,-0.0,-0.009,-0.199,-0.023,-0.009,-0.008,-0.0,0.0,-0.0,-0.0
2022,0.005,0.012,0.172,0.029,0.013,0.014,0.003,0.001,0.004,0.001
2023,-0.0,0.009,0.036,0.02,0.018,0.003,0.005,0.001,0.004,0.0
