,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
2009,0.0,-0.002,-0.025,-0.004,-0.0,-0.006,-0.002,-0.0,-0.002,0.001
2010,0.001,-0.018,-0.268,-0.008,-0.006,0.012,0.006,0.001,0.004,-0.001
2011,-0.003,-0.014,-0.047,-0.007,-0.011,-0.016,-0.01,-0.001,0.001,-0.0
2012,0.003,0.027,0.29,0.015,0.011,0.016,0.009,0.003,0.001,0.001
2013,0.002,0.006,-0.011,0.004,0.011,0.02,0.004,0.003,0.011,0.0
2014,0.003,0.003,-0.08,0.003,0.007,0.001,0.007,0.001,0.008,0.0
2015,-0.002,-0.013,0.001,-0.011,-0.019,-0.03,-0.013,-0.003,-0.016,-0.001
2016,0.002,0.001,0.045,-0.001,0.002,0.012,-0.001,-0.002,-0.002,-0.0
2017,-0.003,-0.005,-0.109,-0.005,-0.002,-0.01,-0.003,0.0,-0.002,0.0
2018,0.001,-0.003,-0.015,-0.001,-0.003,0.003,0.003,-0.001,0.0,-0.0
2019,-0.0,-0.001,0.001,0.001,0.001,-0.004,-0.001,0.001,0.003,0.0
2020,-0.004,-0.021,-0.255,-0.008,-0.012,-0.018,-0.004,-0.002,-0.012,-0.001
2021,-0.002,-0.02,-0.259,-0.008,-0.008,-0.011,-0.006,-0.0,-0.004,-0.0
2022,0.002,0.011,0.235,0.009,0.006,0.009,0.007,-0.0,0.003,0.001
2023,-0.0,-0.001,-0.169,-0.003,-0.001,-0.006,-0.003,0.001,-0.001,-0.001
