,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.001,-0.001,-0.093,-0.003,-0.049,-0.003,-0.002,-0.0,0.0,0.0
2010,-0.0,-0.002,-0.182,-0.006,-0.052,-0.011,0.001,-0.0,-0.0,0.0
2011,0.003,0.001,0.091,0.008,0.109,-0.007,0.001,0.001,-0.001,-0.0
2012,0.002,-0.001,0.011,0.002,0.041,0.018,-0.001,-0.0,-0.001,0.0
2013,-0.005,0.001,0.05,-0.001,-0.016,0.0,0.001,-0.0,0.001,-0.0
2014,0.001,-0.002,-0.083,0.0,-0.049,-0.008,-0.001,-0.0,-0.001,-0.0
2015,0.002,0.002,0.181,0.003,0.091,0.016,0.002,0.0,0.0,0.0
2016,-0.001,-0.001,-0.078,-0.003,-0.028,-0.012,-0.0,-0.0,-0.001,-0.0
2017,-0.0,0.0,-0.047,0.001,-0.041,0.007,-0.0,-0.0,0.0,0.0
2018,-0.001,0.002,0.008,-0.007,-0.008,-0.005,0.0,0.0,0.0,0.0
2019,-0.001,-0.001,0.025,0.0,-0.013,0.005,-0.0,-0.0,-0.001,0.0
2020,-0.003,-0.006,-0.237,-0.01,-0.102,-0.034,-0.003,-0.001,-0.004,-0.001
2021,-0.0,0.001,-0.069,-0.002,-0.014,-0.007,-0.001,-0.0,0.001,0.001
2022,0.002,-0.0,0.07,0.006,0.019,0.014,0.003,0.001,0.001,-0.0
2023,0.001,0.002,0.03,0.003,0.013,0.014,0.004,0.001,0.007,0.001
2024,0.001,0.001,0.05,0.001,-0.007,-0.002,0.0,0.0,-0.003,0.0
