,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.004,-0.007,-0.021,0.003,-0.005,-0.046,-0.002,-0.018,0.001,-0.001
2010,-0.0,0.003,-0.014,-0.013,-0.002,-0.032,-0.01,-0.017,-0.006,0.0
2011,-0.002,-0.009,0.007,-0.003,-0.017,0.043,0.021,0.004,-0.001,-0.001
2012,-0.002,0.007,-0.005,-0.002,-0.001,-0.102,-0.045,-0.058,-0.003,0.001
2013,-0.001,-0.002,0.018,-0.0,-0.022,0.211,0.103,0.146,0.004,0.001
2014,0.003,0.005,0.0,0.0,0.008,-0.064,-0.04,-0.03,0.002,0.0
2015,-0.001,-0.004,-0.017,-0.003,-0.023,0.064,0.054,0.014,-0.007,-0.001
2016,-0.003,-0.003,-0.061,-0.001,-0.011,-0.041,0.002,-0.011,-0.007,-0.001
2017,0.0,0.006,-0.01,0.007,0.005,-0.124,-0.087,-0.086,0.009,0.001
2018,0.004,0.0,0.006,-0.005,0.019,0.192,0.13,0.118,0.001,0.0
2019,-0.003,-0.001,0.006,-0.001,-0.007,-0.014,-0.006,-0.034,-0.004,0.001
2020,-0.004,-0.012,-0.051,-0.009,-0.025,-0.118,-0.078,-0.032,-0.01,-0.001
2021,0.001,-0.001,-0.009,-0.004,-0.013,-0.124,-0.031,-0.046,-0.005,-0.002
2022,0.004,0.006,0.085,0.008,0.024,0.163,0.1,0.055,0.009,0.003
2023,-0.001,0.003,-0.028,0.002,0.003,-0.006,0.012,-0.022,0.004,0.001
2024,-0.0,0.001,-0.006,-0.001,-0.001,-0.038,-0.037,-0.052,-0.004,-0.003
