,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,-0.002,-0.002,-0.042,-0.0,-0.011,-0.015,-0.008,-0.001,-0.0,0.0
2010,-0.005,-0.003,-0.063,-0.006,-0.009,-0.032,-0.012,-0.004,-0.114,0.001
2011,-0.005,-0.005,-0.01,-0.001,-0.007,0.058,0.031,0.005,0.023,-0.002
2012,0.003,0.006,0.046,0.004,0.02,0.042,0.011,0.009,0.096,0.0
2013,0.003,-0.001,0.004,0.0,0.001,-0.017,-0.007,-0.004,0.007,-0.0
2014,0.001,0.0,-0.003,-0.001,-0.004,0.002,-0.007,-0.003,-0.036,0.0
2015,-0.003,-0.002,-0.027,-0.003,-0.013,-0.024,-0.012,-0.003,-0.052,-0.001
2016,-0.006,-0.003,-0.018,-0.004,-0.009,-0.029,-0.009,-0.002,0.062,0.0
2017,0.001,0.001,0.01,0.001,0.002,0.001,0.004,0.001,-0.003,0.001
2018,-0.0,0.0,0.026,0.003,0.011,0.004,-0.0,0.0,-0.069,-0.001
2019,-0.0,0.001,-0.01,-0.002,-0.001,-0.008,-0.002,0.001,-0.033,0.0
2020,-0.008,-0.009,-0.125,-0.007,-0.038,-0.056,-0.02,-0.006,-0.107,-0.005
2021,-0.003,-0.003,-0.078,-0.005,-0.025,-0.059,-0.011,-0.004,-0.106,-0.002
2022,0.009,0.013,0.19,0.011,0.045,0.09,0.019,0.005,0.126,0.003
2023,0.005,0.006,0.059,0.008,0.023,0.028,0.02,0.006,-0.011,0.003
2024,-0.004,-0.005,-0.032,-0.008,-0.009,-0.019,-0.014,-0.003,-0.036,-0.001
