,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.002,-0.004,-0.019,-0.006,0.011,-0.057,0.002,-0.0,-0.005,-0.0
2,-0.001,0.007,-0.02,-0.003,-0.059,-0.108,0.0,0.001,0.005,-0.001
3,0.003,0.004,0.046,0.005,0.056,0.055,0.011,0.003,0.002,-0.0
4,0.004,-0.001,-0.025,-0.004,-0.067,-0.061,-0.001,-0.002,0.001,0.0
5,0.001,0.0,0.001,-0.001,-0.043,-0.014,-0.003,-0.001,0.002,-0.0
6,-0.002,-0.001,-0.059,0.003,-0.089,-0.104,-0.004,-0.003,-0.003,-0.0
7,-0.003,-0.003,-0.029,-0.003,-0.002,0.053,-0.006,-0.002,-0.006,-0.0
8,-0.003,-0.005,0.091,0.002,0.199,0.334,-0.001,0.002,-0.006,-0.0
9,-0.001,-0.001,-0.022,-0.004,-0.093,-0.05,-0.002,-0.002,-0.001,-0.0
10,0.003,0.001,0.009,0.005,-0.027,-0.017,0.002,-0.001,0.005,0.0
11,0.006,0.006,0.045,0.01,0.037,0.008,0.007,0.004,0.013,0.002
12,-0.003,-0.003,-0.018,-0.002,0.077,-0.04,-0.004,0.001,-0.007,0.001
