,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.011,-0.017,-0.153,-0.013,-0.018,-0.002,-0.007,-0.003,-0.01,-0.0
2,-0.011,-0.014,-0.133,-0.011,-0.022,-0.023,-0.006,-0.004,-0.008,-0.0
3,0.003,-0.005,0.054,0.016,0.008,-0.002,0.003,0.001,0.009,0.0
4,0.002,-0.006,-0.03,0.014,0.006,-0.028,-0.004,0.004,-0.003,0.0
5,-0.002,-0.007,0.057,0.005,0.046,-0.029,0.002,0.001,-0.002,-0.002
6,-0.009,-0.011,-0.022,-0.009,-0.022,-0.016,-0.006,-0.004,-0.017,-0.001
7,-0.013,-0.013,-0.079,-0.01,-0.02,0.013,-0.008,-0.003,-0.019,-0.002
8,-0.015,-0.008,0.062,-0.002,0.013,0.063,0.004,0.004,-0.013,-0.001
9,-0.003,-0.003,0.014,-0.007,-0.016,-0.001,0.008,-0.002,-0.007,-0.001
10,0.038,0.012,0.008,0.007,0.006,0.002,0.003,0.002,0.002,-0.0
11,0.025,0.035,0.184,0.012,0.008,-0.012,0.009,0.003,0.044,0.003
12,-0.004,0.038,0.037,-0.001,0.01,0.035,0.001,0.001,0.024,0.003
