,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.002,-0.003,-0.033,-0.005,-0.022,-0.032,-0.007,-0.002,-0.007,-0.0
2,-0.002,-0.003,-0.039,-0.005,-0.02,-0.095,-0.01,-0.006,-0.007,-0.001
3,0.002,-0.0,0.015,0.001,0.013,0.062,0.007,0.002,0.004,0.0
4,0.001,-0.002,-0.01,-0.0,-0.013,-0.061,-0.006,-0.004,-0.0,0.001
5,0.0,-0.0,-0.005,0.003,0.003,-0.059,0.003,0.001,0.006,-0.0
6,-0.001,-0.001,-0.03,-0.002,-0.01,-0.121,-0.01,-0.008,-0.003,-0.0
7,-0.002,-0.001,-0.01,-0.003,-0.012,-0.003,-0.003,-0.002,-0.003,-0.001
8,-0.003,-0.001,0.054,0.002,0.021,0.28,0.015,0.013,-0.001,-0.0
9,-0.0,-0.0,-0.002,-0.001,-0.0,-0.05,-0.001,-0.002,0.001,-0.0
10,0.003,0.001,0.013,0.004,0.011,-0.03,0.002,0.0,0.002,0.0
11,0.004,0.004,0.035,0.004,0.019,0.028,0.006,0.002,0.007,0.001
12,-0.0,0.005,0.011,0.002,0.011,0.081,0.005,0.005,0.001,0.0
