,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,0.079,-0.011,-0.035,-0.007,-0.021,0.014,-0.006,0.003,0.008,0.001
2,-0.041,-0.006,0.001,-0.004,-0.008,-0.001,0.0,0.002,0.009,0.003
3,0.052,-0.004,-0.006,-0.003,-0.005,0.006,-0.004,-0.004,0.0,0.001
4,-0.07,-0.01,-0.143,-0.006,-0.024,-0.05,-0.005,-0.006,-0.015,-0.002
5,-0.007,-0.001,-0.053,-0.001,0.001,-0.018,-0.001,0.003,-0.007,-0.0
6,-0.058,0.005,-0.005,0.009,0.015,0.01,0.005,0.004,0.0,-0.0
7,-0.02,0.012,0.061,0.007,0.015,0.016,0.001,-0.002,-0.0,-0.0
8,0.084,0.014,0.211,0.006,0.033,0.037,0.002,-0.001,-0.002,-0.001
9,0.016,0.01,0.098,0.005,0.014,0.027,0.001,-0.001,0.004,-0.0
10,0.026,0.001,0.022,0.001,0.012,0.016,0.009,0.002,0.005,-0.0
11,-0.029,-0.004,-0.088,-0.003,-0.014,-0.038,-0.002,-0.005,-0.005,-0.001
12,-0.031,-0.007,-0.063,-0.005,-0.018,-0.021,-0.002,0.004,0.004,-0.0
