,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,0.042,0.003,-0.037,-0.012,-0.033,-0.019,-0.009,-0.003,-0.0,-0.0
2,-0.004,-0.015,-0.056,-0.008,-0.035,-0.011,-0.001,-0.002,0.012,-0.001
3,0.004,0.002,-0.023,0.006,0.007,0.038,0.006,0.001,0.014,0.004
4,-0.006,0.008,-0.049,-0.009,-0.027,-0.025,-0.005,-0.003,-0.012,-0.002
5,-0.003,0.002,-0.048,-0.002,0.019,-0.014,-0.008,-0.002,-0.015,-0.002
6,-0.011,-0.017,-0.05,-0.007,0.007,-0.038,-0.007,-0.003,-0.02,-0.002
7,-0.011,0.005,0.015,0.001,-0.01,-0.005,-0.0,-0.0,-0.005,-0.002
8,-0.014,0.011,0.144,0.017,0.041,0.034,0.008,0.005,0.004,-0.001
9,0.0,0.006,-0.009,0.004,-0.014,0.006,-0.0,0.0,-0.002,-0.001
10,0.009,0.002,0.017,0.008,0.007,0.0,0.01,0.002,-0.002,0.002
11,0.003,-0.005,0.026,0.005,0.027,0.023,0.0,0.001,0.001,0.0
12,-0.009,-0.003,0.071,-0.003,0.01,0.011,0.007,0.004,0.026,0.004
