,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.004,-0.007,-0.049,-0.008,-0.033,-0.047,-0.011,-0.006,-0.013,-0.001
2,-0.004,-0.004,-0.047,-0.004,-0.027,-0.111,-0.008,-0.007,-0.011,-0.001
3,0.005,0.004,0.012,0.003,0.028,0.071,0.008,0.002,0.0,-0.001
4,0.006,0.002,-0.009,-0.003,-0.017,-0.129,0.003,0.001,0.003,0.0
5,0.002,0.001,0.009,0.003,-0.007,-0.136,0.001,0.0,0.005,-0.0
6,-0.002,0.002,-0.028,0.002,-0.045,-0.214,-0.005,-0.004,-0.001,-0.0
7,-0.005,-0.003,0.002,-0.002,0.007,0.117,-0.004,-0.001,-0.005,-0.0
8,-0.004,-0.005,0.084,-0.001,0.113,0.579,0.006,0.008,-0.008,-0.001
9,-0.001,0.003,0.009,-0.002,-0.024,-0.072,-0.001,-0.001,0.003,0.002
10,0.002,0.004,0.018,0.008,-0.003,-0.058,0.005,0.003,0.013,0.001
11,0.009,0.007,0.03,0.008,0.023,0.001,0.011,0.008,0.021,0.002
12,-0.004,-0.004,-0.032,-0.005,-0.016,-0.002,-0.005,-0.004,-0.007,-0.001
