,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,0.003,-0.016,-0.084,-0.007,-0.007,-0.005,-0.001,0.002,-0.009,-0.0
2,-0.004,-0.009,-0.165,-0.001,-0.01,-0.012,-0.004,-0.003,0.001,-0.0
3,0.004,0.028,0.019,0.007,0.012,0.005,0.005,0.001,0.01,0.0
4,-0.001,0.004,0.099,-0.003,-0.004,0.002,-0.0,-0.001,-0.003,0.0
5,0.002,-0.002,0.006,0.004,0.002,0.001,0.001,-0.001,-0.0,-0.0
6,-0.003,-0.009,-0.086,-0.008,-0.009,-0.003,-0.001,-0.001,-0.001,-0.001
7,-0.004,0.001,0.002,-0.002,-0.008,-0.006,-0.002,0.0,0.001,-0.001
8,0.002,0.0,0.114,0.001,0.004,0.018,0.002,0.002,-0.003,0.001
9,-0.0,-0.004,-0.061,-0.001,-0.004,-0.003,-0.002,-0.002,-0.003,-0.001
10,0.001,-0.005,-0.024,0.001,-0.003,-0.0,0.002,0.001,0.003,0.0
11,0.001,0.003,0.072,0.004,0.015,-0.0,0.001,0.0,0.002,0.001
12,-0.002,0.008,0.109,0.006,0.011,0.004,-0.0,0.002,0.002,0.001
