,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.002,-0.002,-0.017,-0.003,-0.009,-0.016,-0.021,-0.006,-0.127,-0.002
2,-0.001,-0.0,0.002,0.0,-0.003,-0.01,-0.023,-0.009,-0.16,-0.003
3,0.007,0.002,0.023,0.004,0.012,0.031,0.016,0.002,0.023,-0.001
4,0.002,-0.001,-0.024,0.0,-0.005,-0.017,-0.015,-0.006,-0.11,-0.003
5,-0.0,0.0,-0.011,0.001,0.001,-0.008,-0.015,-0.005,-0.117,-0.003
6,-0.003,-0.002,-0.037,-0.002,-0.011,-0.024,-0.028,-0.012,-0.129,0.004
7,-0.004,-0.002,-0.019,-0.002,-0.007,-0.008,0.009,0.003,0.075,0.007
8,-0.004,-0.002,0.034,-0.001,0.012,0.03,0.069,0.029,0.282,-0.002
9,-0.001,0.001,-0.004,-0.001,-0.003,0.001,0.004,0.001,0.063,-0.003
10,0.001,0.002,0.003,0.003,0.002,-0.001,-0.003,0.002,0.067,0.001
11,0.007,0.004,0.039,0.003,0.012,0.019,0.005,0.003,0.071,0.004
12,-0.001,-0.0,0.011,-0.002,-0.001,0.002,0.002,-0.002,0.063,-0.0
