,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,0.005,-0.009,-0.049,-0.009,-0.014,-0.003,-0.008,-0.003,-0.013,-0.0
2,-0.006,-0.01,-0.022,-0.009,-0.023,-0.04,-0.008,-0.007,-0.005,-0.002
3,0.004,-0.001,0.069,0.006,0.011,0.004,0.008,-0.001,0.024,0.002
4,-0.004,-0.005,-0.049,0.003,-0.018,-0.023,-0.01,-0.004,-0.01,-0.001
5,-0.005,-0.011,-0.048,0.013,-0.001,-0.025,-0.0,0.008,-0.009,-0.003
6,-0.01,-0.012,-0.069,-0.01,-0.019,-0.032,-0.013,-0.007,-0.018,-0.003
7,-0.009,-0.009,-0.015,-0.005,-0.009,-0.007,-0.004,-0.003,-0.005,-0.001
8,-0.008,-0.003,0.096,0.008,0.03,0.045,0.013,0.009,0.01,0.001
9,0.0,-0.004,0.007,-0.0,-0.001,-0.005,0.005,0.0,0.002,-0.001
10,0.022,0.005,0.014,0.002,0.017,0.013,0.006,0.005,0.004,0.001
11,0.014,0.026,0.052,0.002,0.011,0.007,0.003,0.001,0.014,0.003
12,-0.003,0.035,0.014,-0.001,0.016,0.065,0.007,0.003,0.007,0.004
