,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,0.003,-0.004,-0.019,-0.001,-0.008,-0.01,-0.006,0.007,-0.073,-0.001
2,0.01,0.018,0.062,-0.0,0.006,0.035,0.003,0.014,-0.049,0.001
3,0.037,-0.003,0.015,0.006,0.015,0.008,0.005,-0.001,-0.008,0.003
4,0.001,-0.006,-0.013,0.001,0.003,-0.01,0.002,-0.002,-0.129,-0.002
5,-0.006,-0.006,-0.006,0.001,0.006,-0.01,0.005,-0.002,-0.004,-0.0
6,-0.013,-0.007,-0.052,-0.002,-0.01,-0.027,-0.005,-0.003,-0.119,-0.001
7,-0.015,-0.008,-0.02,-0.003,-0.007,-0.009,-0.006,-0.002,-0.001,0.0
8,-0.007,-0.007,0.016,-0.002,0.002,0.016,0.002,-0.0,0.334,0.0
9,-0.009,-0.006,-0.016,-0.002,-0.005,-0.009,-0.002,-0.001,-0.022,-0.001
10,-0.004,0.03,0.001,0.0,-0.0,-0.008,0.003,-0.002,0.007,0.001
11,0.006,0.002,0.038,0.002,0.005,0.02,0.005,-0.003,0.033,0.0
12,-0.003,-0.003,-0.008,-0.001,-0.007,0.002,-0.006,-0.004,0.031,-0.0
