,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.004,-0.004,-0.058,-0.004,-0.016,-0.023,-0.023,-0.008,-0.03,-0.002
2,-0.003,-0.002,-0.052,-0.003,-0.016,-0.008,-0.069,-0.004,-0.019,-0.002
3,0.003,0.001,0.008,0.001,0.003,0.024,0.026,0.001,0.015,0.001
4,0.002,-0.001,-0.008,-0.001,-0.003,-0.028,-0.06,-0.006,-0.039,0.0
5,0.0,-0.0,0.011,0.001,0.006,-0.011,-0.034,0.004,-0.028,-0.001
6,-0.001,-0.001,-0.025,-0.0,-0.006,-0.044,-0.072,-0.011,-0.053,-0.001
7,-0.003,-0.001,-0.017,-0.001,-0.008,-0.017,-0.031,-0.005,-0.007,-0.001
8,-0.003,-0.001,0.075,-0.0,0.015,0.072,0.115,0.012,0.063,-0.001
9,-0.001,0.001,0.018,0.001,0.001,-0.004,-0.048,0.003,-0.007,-0.0
10,0.004,0.006,0.017,0.005,0.014,0.004,0.056,0.003,0.034,0.002
11,0.007,0.005,0.043,0.004,0.019,0.039,0.045,0.012,0.065,0.004
12,-0.002,-0.001,-0.013,-0.002,-0.008,-0.003,0.095,-0.003,0.008,0.0
