,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.001,-0.007,-0.101,-0.009,-0.047,-0.016,-0.003,-0.001,-0.004,-0.001
2,-0.002,-0.006,-0.144,-0.003,-0.037,-0.015,-0.003,-0.002,-0.003,-0.0
3,-0.0,-0.0,-0.011,0.011,-0.001,0.013,0.001,-0.001,0.001,-0.0
4,0.003,0.001,-0.081,-0.003,-0.015,-0.001,0.001,-0.001,0.001,0.0
5,0.001,-0.002,-0.064,-0.005,0.007,-0.001,0.001,-0.001,-0.0,-0.0
6,-0.0,-0.0,-0.125,-0.002,0.004,-0.015,-0.002,-0.001,-0.001,0.0
7,-0.001,-0.002,-0.007,-0.009,0.004,-0.004,-0.0,0.001,0.001,0.0
8,-0.001,0.0,0.337,-0.001,0.037,0.022,0.001,0.002,0.0,0.0
9,0.001,0.004,0.021,-0.002,0.007,0.006,0.001,0.001,0.0,-0.0
10,0.002,0.008,0.056,0.014,0.016,0.008,0.004,-0.0,0.003,0.0
11,0.0,0.007,0.096,0.016,0.04,0.016,0.002,0.003,0.003,0.001
12,-0.001,-0.004,0.025,-0.008,-0.014,-0.012,-0.003,-0.002,-0.002,0.0
