,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.005,-0.007,-0.075,-0.022,-0.021,-0.047,-0.003,-0.002,0.0,-0.001
2,-0.004,-0.006,-0.048,-0.022,-0.084,-0.009,0.001,-0.0,0.002,-0.0
3,-0.003,-0.003,-0.04,0.0,0.071,0.007,-0.001,-0.001,-0.001,-0.0
4,0.003,-0.002,-0.042,-0.014,-0.077,-0.042,-0.005,-0.002,-0.003,0.001
5,0.002,0.0,-0.006,0.001,-0.059,0.002,-0.001,-0.0,-0.001,-0.0
6,0.0,0.002,-0.033,0.004,-0.074,-0.004,-0.002,-0.001,-0.005,-0.001
7,-0.003,0.004,0.005,0.004,-0.028,-0.009,-0.0,0.001,-0.004,-0.001
8,-0.003,0.001,0.157,0.01,0.164,0.048,-0.001,-0.0,-0.004,-0.001
9,0.001,0.006,0.042,0.007,-0.008,0.031,0.002,0.0,0.003,-0.0
10,0.008,0.007,0.035,0.021,-0.008,0.02,0.007,0.005,0.01,0.002
11,0.007,0.003,0.06,0.021,0.026,0.04,0.006,0.004,0.008,0.002
12,-0.002,-0.005,-0.054,-0.01,0.097,-0.038,-0.002,-0.003,-0.006,-0.0
