,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.007,-0.007,-0.055,-0.008,-0.019,-0.026,-0.015,0.0,-0.011,-0.002
2,-0.006,-0.005,-0.065,-0.004,-0.027,-0.037,-0.032,-0.005,-0.012,-0.001
3,0.005,-0.001,0.023,0.006,0.0,0.037,0.025,0.004,0.005,0.001
4,0.006,-0.004,-0.028,-0.002,-0.014,-0.023,-0.016,-0.009,-0.005,0.002
5,0.001,0.002,-0.005,0.004,0.007,0.001,-0.017,-0.002,0.004,0.001
6,-0.003,0.001,-0.05,0.002,-0.004,-0.046,-0.033,-0.001,-0.006,-0.0
7,-0.007,-0.003,-0.015,-0.004,-0.016,-0.024,-0.017,-0.007,-0.001,-0.002
8,-0.007,-0.002,0.065,-0.002,0.011,0.095,0.033,0.018,0.005,-0.001
9,-0.001,-0.001,0.012,-0.0,0.001,0.008,-0.041,-0.002,0.004,-0.001
10,0.011,0.005,0.043,0.004,0.023,0.011,0.022,-0.001,0.009,0.0
11,0.013,0.015,0.075,0.007,0.034,0.023,0.027,0.001,0.013,0.004
12,-0.003,-0.002,-0.001,0.001,0.004,-0.018,0.064,0.004,-0.005,-0.0
