,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.014,0.132,0.021,-0.008,-0.011,-0.001,-0.006,-0.002,-0.006,-0.001
2,-0.015,0.109,0.016,-0.003,-0.01,0.001,-0.004,-0.001,-0.002,-0.001
3,-0.012,0.06,-0.014,-0.004,-0.009,-0.01,-0.006,-0.001,-0.006,-0.001
4,0.009,-0.211,-0.022,0.0,0.003,-0.005,0.003,0.0,0.004,0.002
5,0.054,-0.11,-0.02,0.0,-0.001,0.0,-0.0,-0.0,-0.002,-0.001
6,0.03,-0.11,-0.095,0.001,-0.007,-0.009,-0.002,-0.001,-0.003,-0.001
7,-0.013,0.011,-0.043,-0.002,-0.006,-0.02,-0.003,-0.001,-0.004,-0.001
8,0.001,0.152,0.232,0.011,0.028,0.029,0.005,0.001,0.003,-0.001
9,-0.007,-0.077,-0.033,-0.0,-0.006,-0.0,-0.001,-0.0,-0.002,-0.001
10,-0.003,-0.053,0.058,0.016,0.033,0.038,0.02,0.005,0.024,0.003
11,-0.012,-0.025,-0.061,-0.003,0.001,-0.002,0.0,0.0,0.001,0.001
12,-0.017,0.124,-0.039,-0.009,-0.014,-0.02,-0.006,-0.002,-0.006,0.001
