,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.008,-0.008,-0.099,-0.008,-0.032,-0.027,-0.006,-0.006,-0.012,-0.001
2,-0.007,-0.007,-0.071,-0.007,-0.03,-0.025,-0.014,-0.005,-0.004,-0.001
3,0.001,-0.001,0.027,-0.0,0.0,0.01,-0.012,0.004,0.007,0.001
4,-0.002,-0.004,-0.061,-0.0,-0.015,-0.02,-0.025,-0.006,-0.01,0.0
5,-0.002,-0.002,-0.008,0.019,0.026,-0.002,-0.031,0.009,0.002,-0.0
6,-0.005,-0.003,-0.062,-0.004,-0.007,-0.017,-0.036,-0.004,-0.011,-0.001
7,-0.008,-0.005,-0.003,-0.006,-0.012,-0.0,0.024,-0.001,-0.0,-0.001
8,-0.007,-0.004,0.134,0.0,0.021,0.061,0.056,0.01,0.011,-0.0
9,0.0,0.0,0.037,-0.0,0.001,0.011,-0.011,0.004,0.001,-0.0
10,0.025,0.01,0.036,0.003,0.021,0.001,-0.01,-0.003,0.0,-0.001
11,0.019,0.015,0.085,0.006,0.03,0.015,0.003,-0.001,0.016,0.002
12,-0.006,0.009,-0.015,-0.002,-0.003,-0.004,0.063,0.001,-0.001,0.001
