,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.009,-0.009,-0.086,-0.01,-0.03,-0.049,-0.008,-0.023,-0.016,-0.002
2,-0.009,-0.007,-0.054,-0.003,-0.022,-0.064,-0.006,-0.02,-0.011,-0.0
3,0.007,0.01,0.052,0.007,0.018,0.054,0.009,0.004,0.006,0.002
4,0.012,0.002,-0.021,0.002,0.001,-0.035,-0.009,-0.002,0.0,0.0
5,0.007,0.004,0.018,0.002,0.014,-0.035,0.002,-0.004,0.007,-0.001
6,-0.001,0.002,-0.053,-0.003,-0.006,-0.087,-0.01,0.012,-0.003,0.001
7,-0.01,-0.005,-0.024,-0.008,-0.016,0.106,-0.002,0.011,-0.003,-0.001
8,-0.008,-0.008,0.071,-0.006,0.013,0.286,0.021,0.027,-0.004,-0.002
9,-0.005,-0.002,-0.015,-0.004,-0.017,-0.06,-0.011,-0.033,-0.0,-0.001
10,0.006,0.002,0.016,0.004,0.006,-0.052,0.001,0.016,0.009,0.002
11,0.016,0.006,0.096,0.018,0.037,-0.042,0.011,0.013,0.015,0.002
12,-0.007,0.003,-0.001,0.0,0.002,-0.023,0.0,-0.0,0.001,-0.0
