,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.006,-0.008,-0.077,-0.007,-0.035,-0.02,0.011,0.022,-0.017,-0.001
2,-0.003,-0.003,-0.045,-0.002,-0.029,-0.029,-0.003,-0.021,-0.014,-0.001
3,0.008,0.005,0.032,0.007,0.014,0.033,0.02,0.008,0.0,-0.0
4,0.006,-0.0,-0.023,-0.001,-0.003,-0.034,-0.016,-0.028,-0.004,-0.001
5,0.002,0.002,0.014,0.004,0.014,0.009,-0.013,-0.02,0.007,-0.001
6,-0.003,0.0,-0.06,-0.001,-0.018,-0.035,-0.021,-0.027,-0.008,-0.0
7,-0.008,-0.004,-0.028,-0.004,-0.014,-0.028,-0.017,-0.004,-0.003,-0.001
8,-0.007,-0.004,0.078,-0.002,0.023,0.075,0.015,0.031,0.006,-0.0
9,-0.001,0.002,-0.006,-0.002,-0.002,-0.011,-0.023,-0.03,0.003,0.001
10,0.008,0.007,0.045,0.007,0.031,0.027,0.006,0.014,0.017,0.001
11,0.009,0.008,0.086,0.006,0.035,0.04,0.02,0.016,0.021,0.002
12,-0.005,-0.003,-0.015,-0.005,-0.016,-0.028,0.021,0.039,-0.009,0.002
