,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.002,-0.002,-0.021,-0.004,0.006,-0.014,-0.004,-0.001,-0.004,-0.0
2,-0.002,-0.001,-0.029,-0.003,-0.036,-0.016,-0.003,-0.001,-0.002,0.001
3,0.004,0.001,0.03,0.004,0.021,0.007,0.003,0.001,0.003,0.0
4,0.002,-0.001,-0.028,-0.008,-0.044,-0.014,-0.001,-0.001,-0.002,0.002
5,-0.0,0.0,-0.006,0.001,-0.041,0.003,0.0,-0.0,0.0,-0.0
6,-0.001,-0.001,-0.041,-0.006,-0.067,-0.016,-0.002,-0.001,-0.001,-0.001
7,-0.003,-0.0,0.01,0.001,-0.011,0.007,0.001,0.0,0.0,-0.001
8,-0.003,-0.0,0.068,0.013,0.113,0.058,0.004,0.002,0.001,-0.001
9,0.0,0.0,-0.003,-0.002,-0.044,0.003,0.002,-0.0,0.003,-0.0
10,0.003,0.002,-0.003,-0.002,-0.033,-0.01,-0.0,-0.0,0.003,0.0
11,0.004,0.004,0.042,0.01,0.015,0.004,0.002,0.002,0.004,0.001
12,-0.002,-0.001,-0.02,-0.003,0.121,-0.013,-0.001,-0.0,-0.004,-0.001
