,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.001,-0.022,0.221,-0.0,-0.01,0.006,-0.001,0.001,0.03,0.003
2,0.0,-0.02,0.231,-0.015,-0.011,-0.008,-0.001,0.0,0.013,0.0
3,0.003,-0.005,0.11,0.011,-0.007,-0.003,-0.001,-0.0,-0.006,-0.0
4,-0.001,-0.01,-0.185,-0.06,-0.008,-0.004,-0.001,-0.001,-0.006,-0.0
5,0.0,0.004,-0.158,-0.047,0.004,-0.0,0.0,0.0,-0.006,-0.001
6,-0.001,-0.003,-0.238,-0.02,-0.004,-0.005,-0.001,-0.001,-0.006,-0.001
7,-0.001,0.007,-0.008,-0.02,-0.001,-0.002,0.0,-0.0,-0.005,-0.001
8,0.001,0.029,0.435,0.041,0.019,0.01,0.001,0.001,-0.004,-0.001
9,0.0,0.009,-0.144,-0.034,0.006,0.003,0.001,0.0,-0.003,-0.0
10,0.001,0.01,-0.074,0.02,0.024,0.014,0.004,0.001,0.003,0.0
11,-0.0,0.014,-0.144,0.029,0.005,0.001,0.001,-0.0,-0.004,-0.0
12,-0.002,-0.014,-0.047,0.097,-0.015,-0.012,-0.002,-0.001,-0.007,0.0
