,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.001,-0.016,-0.142,-0.011,-0.011,-0.007,-0.002,-0.0,-0.001,-0.0
2,-0.002,-0.015,-0.23,-0.009,-0.009,-0.006,-0.002,-0.001,-0.001,-0.0
3,-0.0,0.007,0.033,0.0,-0.003,-0.001,-0.0,-0.0,-0.001,-0.0
4,0.003,-0.011,-0.136,-0.006,-0.002,-0.002,0.0,-0.001,0.0,-0.0
5,0.002,-0.0,-0.111,0.001,0.002,0.001,0.0,-0.0,0.001,-0.0
6,-0.001,-0.002,-0.186,0.004,0.0,0.003,0.0,0.0,0.001,-0.0
7,-0.002,-0.0,0.03,0.001,-0.003,-0.002,-0.001,-0.0,-0.002,-0.0
8,-0.002,-0.004,0.518,0.003,0.001,-0.001,-0.001,-0.001,-0.004,-0.0
9,0.0,0.003,-0.014,0.002,0.002,0.004,0.001,0.001,0.0,-0.0
10,0.002,0.019,0.081,0.014,0.016,0.007,0.003,0.002,0.004,0.0
11,0.002,0.019,0.131,0.011,0.016,0.009,0.003,0.001,0.005,0.001
12,-0.002,-0.0,0.026,-0.009,-0.009,-0.006,-0.001,-0.001,-0.003,-0.0
