,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,0.008,0.001,-0.087,-0.004,-0.015,-0.026,-0.006,-0.003,-0.009,-0.01
2,0.013,0.004,-0.089,-0.003,0.001,-0.025,0.002,-0.003,-0.007,-0.018
3,0.018,0.005,0.006,0.007,0.022,0.02,0.007,0.001,0.013,-0.0
4,0.004,-0.002,-0.036,-0.003,-0.002,-0.0,0.004,0.003,0.003,-0.013
5,-0.007,-0.005,-0.121,-0.006,-0.018,-0.004,-0.001,0.004,-0.008,-0.002
6,-0.005,-0.006,-0.086,-0.006,-0.004,-0.025,-0.005,-0.0,-0.007,0.007
7,-0.012,-0.001,0.137,-0.003,0.009,0.031,0.002,0.0,0.007,0.001
8,-0.016,-0.0,0.26,-0.001,0.028,0.068,0.006,0.003,0.017,-0.001
9,-0.003,0.001,0.054,-0.001,-0.014,0.018,-0.002,-0.001,0.005,-0.005
10,0.005,0.002,0.054,0.006,0.005,-0.009,0.002,-0.0,0.001,0.0
11,0.005,0.003,-0.024,0.004,-0.004,-0.022,-0.004,-0.002,-0.003,0.009
12,-0.01,-0.002,-0.068,0.011,-0.007,-0.025,-0.005,-0.002,-0.01,0.031
