,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.005,-0.015,-0.088,-0.015,-0.036,-0.053,-0.01,-0.008,-0.012,0.001
2,-0.006,-0.014,-0.106,-0.013,-0.054,-0.104,-0.01,-0.006,-0.01,-0.001
3,0.002,-0.008,-0.013,-0.001,-0.01,-0.036,0.001,-0.002,0.003,-0.001
4,0.006,-0.006,-0.015,0.002,-0.018,0.017,-0.002,-0.002,0.002,-0.0
5,-0.002,-0.009,0.046,0.004,0.03,-0.075,0.003,0.018,0.01,-0.001
6,-0.005,-0.009,-0.02,0.001,-0.024,-0.114,-0.001,-0.005,-0.005,-0.001
7,-0.005,-0.003,-0.007,-0.006,-0.021,0.002,-0.005,-0.006,-0.007,-0.001
8,-0.004,-0.009,0.033,-0.003,0.067,0.364,-0.005,-0.005,-0.01,-0.002
9,-0.001,-0.001,0.012,0.0,-0.007,-0.048,0.001,-0.001,-0.003,-0.001
10,0.009,0.012,0.038,0.012,0.016,-0.0,0.015,0.012,0.006,-0.0
11,0.012,0.029,0.143,0.024,0.045,-0.023,0.017,0.01,0.025,0.003
12,0.0,0.032,-0.022,-0.005,0.013,0.069,-0.005,-0.005,0.002,0.005
