,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.001,-0.002,-0.032,-0.004,-0.018,-0.028,-0.007,-0.005,-0.051,0.022
2,-0.001,0.0,-0.026,-0.002,-0.014,-0.038,-0.024,-0.008,-0.204,0.007
3,0.005,0.002,0.015,0.003,0.004,0.011,0.005,-0.004,0.003,-0.013
4,0.002,-0.002,-0.023,-0.002,-0.01,-0.01,-0.001,0.002,0.009,-0.014
5,-0.0,-0.001,-0.005,-0.0,-0.001,0.007,0.013,0.013,-0.048,-0.015
6,-0.003,-0.001,-0.035,-0.001,-0.013,-0.011,-0.021,-0.006,-0.196,-0.013
7,-0.004,-0.001,-0.016,-0.002,-0.005,-0.007,-0.01,-0.003,-0.055,-0.015
8,-0.003,-0.0,0.065,-0.001,0.013,0.05,0.043,0.009,0.421,-0.011
9,-0.001,-0.0,0.014,-0.001,0.004,0.016,0.006,0.001,0.044,-0.015
10,0.002,0.002,0.017,0.007,0.023,0.004,0.001,0.004,0.046,0.001
11,0.005,0.003,0.034,0.002,0.02,0.02,0.003,0.001,0.014,0.019
12,-0.002,-0.0,-0.008,0.001,-0.003,-0.015,-0.007,-0.005,0.018,0.047
