,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.007,-0.013,-0.083,0.036,-0.034,-0.008,-0.008,-0.001,-0.008,-0.001
2,-0.006,-0.011,-0.06,0.033,-0.022,0.009,-0.005,0.002,-0.001,0.0
3,-0.0,-0.003,0.002,0.053,0.012,0.03,-0.001,0.001,-0.0,-0.001
4,0.004,-0.005,-0.066,-0.062,-0.025,-0.037,-0.002,-0.003,-0.004,-0.0
5,0.003,-0.001,-0.003,-0.069,-0.015,-0.018,0.003,0.001,0.002,-0.001
6,0.002,0.006,-0.041,-0.027,-0.018,-0.035,-0.0,-0.0,-0.002,-0.0
7,-0.005,0.003,-0.029,-0.029,-0.0,-0.017,-0.002,-0.0,-0.004,-0.001
8,-0.005,-0.001,0.136,0.022,0.075,0.075,0.0,-0.001,-0.006,-0.001
9,0.004,0.013,0.036,-0.065,-0.013,-0.002,0.002,0.001,0.003,0.0
10,0.007,0.011,0.044,-0.014,0.009,-0.007,0.011,0.002,0.008,0.001
11,0.008,0.012,0.094,0.031,0.041,0.034,0.007,0.001,0.017,0.003
12,-0.006,-0.01,-0.031,0.092,-0.01,-0.024,-0.007,-0.003,-0.004,0.0
