,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.002,-0.006,-0.039,-0.006,-0.003,-0.045,-0.006,-0.004,-0.004,-0.0
2,-0.002,-0.006,-0.043,-0.007,0.024,-0.043,-0.008,-0.0,-0.003,-0.0
3,-0.0,-0.001,-0.001,-0.007,0.016,-0.021,-0.004,-0.001,-0.003,-0.0
4,0.001,-0.0,-0.027,-0.026,-0.165,0.022,-0.001,-0.002,-0.002,-0.0
5,0.0,0.002,0.004,-0.004,-0.139,-0.087,0.002,0.0,0.0,0.0
6,-0.001,0.003,-0.044,-0.002,-0.083,-0.124,-0.002,-0.002,-0.001,-0.001
7,-0.0,0.002,-0.008,-0.005,-0.024,0.036,-0.001,0.0,0.0,-0.0
8,-0.001,-0.0,0.091,0.007,0.042,0.386,0.002,-0.0,0.0,0.0
9,0.003,0.003,0.001,-0.008,-0.102,-0.038,0.0,0.004,-0.001,-0.0
10,0.003,0.004,0.013,0.023,-0.006,-0.061,0.006,0.002,0.005,0.001
11,0.003,0.004,0.062,0.031,0.142,0.004,0.012,0.005,0.007,0.0
12,-0.002,-0.004,-0.011,0.005,0.298,-0.03,0.002,-0.002,-0.001,0.0
