,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.002,-0.003,-0.04,-0.004,-0.009,-0.011,-0.002,-0.004,-0.031,-0.001
2,-0.002,-0.001,-0.011,-0.001,-0.006,-0.007,-0.006,-0.004,-0.048,-0.0
3,0.003,0.003,0.037,0.003,0.008,0.017,0.002,-0.0,0.01,0.0
4,-0.0,-0.002,-0.038,-0.003,-0.006,-0.012,-0.011,0.003,-0.028,-0.002
5,-0.0,-0.0,-0.001,-0.001,-0.001,0.003,0.006,0.011,-0.019,-0.002
6,-0.002,-0.002,-0.031,-0.002,-0.011,-0.02,-0.013,-0.002,-0.09,-0.001
7,-0.003,0.001,-0.008,-0.0,-0.005,-0.003,-0.004,-0.003,0.019,-0.0
8,-0.003,-0.0,0.029,-0.001,0.011,0.024,0.023,0.004,0.157,0.003
9,-0.0,0.0,-0.009,0.0,-0.005,-0.002,-0.003,0.001,-0.018,-0.0
10,0.001,0.002,0.019,0.003,0.007,-0.002,-0.003,-0.001,-0.023,0.002
11,0.007,0.003,0.043,0.004,0.016,0.018,0.006,0.0,0.018,0.001
12,0.002,-0.001,0.01,0.002,0.002,-0.005,0.006,-0.002,0.054,0.001
