,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.002,-0.005,-0.048,-0.016,-0.013,-0.009,-0.004,-0.001,0.002,-0.0
2,-0.001,-0.044,-0.1,-0.015,-0.009,-0.011,-0.003,-0.0,0.005,-0.0
3,0.001,-0.0,-0.074,-0.006,-0.007,-0.007,-0.002,-0.001,-0.001,-0.0
4,0.002,-0.063,-0.071,-0.005,0.009,0.003,0.001,-0.0,0.001,0.001
5,0.002,-0.057,-0.083,0.004,0.002,-0.0,0.001,-0.0,-0.002,0.0
6,-0.001,-0.006,-0.1,0.013,-0.001,0.002,0.002,-0.0,-0.003,0.0
7,-0.002,-0.013,0.028,-0.002,-0.003,0.001,-0.001,-0.001,-0.004,-0.0
8,-0.001,0.027,0.358,0.001,0.003,0.002,-0.002,-0.0,-0.004,-0.0
9,-0.0,-0.037,-0.011,-0.001,0.0,-0.0,-0.001,-0.0,-0.0,-0.0
10,0.002,0.012,0.092,0.016,0.021,0.019,0.006,0.004,0.003,0.001
11,0.001,0.047,0.077,0.019,0.007,0.009,0.005,0.0,0.002,0.001
12,-0.002,0.138,-0.068,-0.008,-0.009,-0.008,-0.001,-0.0,0.001,-0.0
