,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.025,-0.017,-0.108,-0.012,-0.009,-0.019,-0.003,-0.003,-0.005,-0.001
2,-0.017,-0.051,-0.088,-0.005,-0.01,-0.008,-0.003,-0.002,-0.001,-0.001
3,-0.013,-0.006,-0.05,-0.003,-0.011,-0.009,-0.002,-0.002,-0.002,-0.001
4,-0.005,-0.101,-0.048,-0.003,-0.006,-0.002,-0.0,0.0,0.001,0.0
5,0.081,-0.038,0.005,0.004,0.002,0.011,0.001,0.0,0.001,-0.0
6,0.083,0.04,-0.012,0.008,-0.0,-0.002,0.001,0.001,-0.003,-0.0
7,-0.019,0.056,0.005,0.002,-0.002,-0.005,0.0,-0.0,-0.002,-0.001
8,-0.014,0.07,0.208,0.01,0.024,0.025,0.001,0.002,-0.0,-0.001
9,-0.012,0.006,0.075,0.003,0.009,0.008,0.002,0.001,0.004,0.001
10,-0.013,0.053,0.114,0.013,0.016,0.02,0.008,0.004,0.013,0.002
11,-0.02,-0.004,-0.004,-0.004,0.003,0.001,-0.002,0.001,0.001,0.0
12,-0.025,-0.009,-0.098,-0.011,-0.016,-0.02,-0.004,-0.003,-0.006,-0.001
