,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.001,0.007,-0.046,-0.006,-0.005,-0.009,-0.004,-0.001,-0.004,-0.0
2,-0.001,-0.001,-0.106,-0.002,-0.003,-0.005,-0.002,0.0,-0.001,-0.0
3,0.005,0.011,0.014,0.009,0.011,0.009,0.001,0.001,0.001,0.0
4,0.001,-0.008,-0.057,-0.005,-0.002,0.002,-0.002,-0.001,-0.001,0.0
5,0.0,-0.005,-0.015,-0.003,-0.001,0.002,-0.002,0.0,-0.001,0.0
6,-0.001,-0.006,-0.067,0.001,-0.006,-0.005,0.003,-0.0,-0.001,-0.0
7,-0.001,-0.004,-0.002,0.001,0.0,0.001,0.0,0.0,-0.0,-0.0
8,-0.001,-0.001,0.219,-0.001,0.007,0.01,0.002,0.002,0.004,0.001
9,-0.001,-0.006,-0.089,-0.002,0.002,0.002,0.001,0.0,0.0,-0.0
10,-0.0,0.0,-0.001,0.005,-0.0,0.0,0.001,0.0,0.002,-0.0
11,0.001,0.013,0.064,0.009,0.003,0.0,0.002,0.0,0.003,0.0
12,-0.001,0.002,0.087,-0.006,-0.006,-0.007,-0.002,-0.001,-0.001,-0.0
