,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.004,-0.006,-0.073,-0.008,-0.04,-0.052,-0.019,-0.005,-0.107,0.0
2,-0.003,0.001,-0.005,-0.002,-0.021,-0.037,-0.014,-0.002,-0.099,-0.001
3,0.017,0.005,0.046,0.009,0.022,0.038,0.017,0.003,-0.019,0.001
4,0.004,-0.001,-0.045,-0.004,-0.032,0.014,-0.008,0.003,-0.106,-0.002
5,-0.0,-0.002,0.025,-0.002,-0.002,0.073,0.026,0.004,-0.009,-0.0
6,-0.006,-0.005,-0.086,-0.004,-0.027,-0.004,-0.024,-0.007,-0.146,-0.002
7,-0.01,-0.007,-0.048,-0.009,-0.034,-0.029,-0.012,-0.004,-0.015,-0.002
8,-0.007,-0.004,0.115,-0.004,0.016,0.048,0.026,0.006,0.216,-0.0
9,-0.003,-0.003,-0.03,-0.002,-0.022,-0.023,-0.009,-0.004,-0.012,-0.001
10,0.006,0.006,0.025,0.009,0.08,-0.014,-0.001,0.003,0.076,-0.0
11,0.01,0.013,0.056,0.006,0.051,0.011,0.011,0.003,0.126,0.003
12,-0.003,0.006,0.021,0.011,0.009,-0.024,0.009,-0.0,0.096,0.005
