,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,0.001,-0.004,-0.011,0.015,-0.001,0.014,-0.003,0.002,0.007,0.0
2,-0.001,-0.007,-0.026,-0.005,-0.02,0.007,-0.001,-0.002,0.002,0.0
3,-0.001,-0.003,-0.015,0.032,-0.011,-0.002,-0.001,-0.002,-0.004,-0.0
4,-0.0,-0.0,-0.136,-0.025,-0.038,-0.022,-0.0,-0.001,-0.003,-0.0
5,0.0,0.0,-0.054,-0.013,-0.008,-0.008,-0.0,0.0,-0.0,0.0
6,-0.001,0.003,-0.146,-0.005,-0.035,-0.025,-0.001,-0.001,-0.002,0.0
7,-0.001,0.003,0.061,-0.016,0.025,0.004,0.002,0.001,-0.001,0.0
8,0.001,0.002,0.453,-0.003,0.121,0.049,0.002,0.002,0.001,-0.0
9,0.0,0.004,0.033,-0.026,0.006,0.002,0.002,0.001,0.001,-0.0
10,0.001,0.004,0.008,0.013,0.007,0.011,0.004,0.001,0.002,0.0
11,-0.0,0.002,-0.085,0.004,-0.017,-0.014,-0.0,-0.001,-0.002,-0.0
12,0.001,-0.005,-0.084,0.029,-0.031,-0.016,-0.003,-0.001,-0.001,-0.0
