,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,0.001,-0.001,-0.038,-0.004,-0.017,-0.014,-0.001,-0.001,-0.003,-0.0
2,0.001,0.002,-0.057,0.002,-0.029,-0.008,-0.001,-0.0,-0.001,-0.0
3,0.005,0.005,0.063,0.007,0.048,0.016,0.002,0.001,0.002,-0.0
4,0.001,-0.002,-0.077,-0.003,-0.036,-0.012,-0.001,-0.001,-0.001,0.0
5,0.001,-0.001,-0.08,0.0,-0.035,-0.001,0.001,0.0,0.001,-0.0
6,-0.001,-0.001,-0.133,0.001,-0.06,-0.009,-0.001,-0.0,-0.0,-0.0
7,-0.003,-0.002,0.024,-0.003,-0.012,-0.004,-0.001,-0.0,0.0,-0.0
8,-0.003,-0.002,0.418,-0.002,0.127,0.012,-0.001,0.0,-0.001,-0.0
9,-0.002,-0.001,-0.061,-0.004,-0.05,0.002,-0.0,-0.0,-0.001,0.0
10,0.002,0.0,-0.062,0.004,-0.018,0.005,0.0,0.001,0.001,0.0
11,0.002,0.003,0.005,0.005,0.023,0.02,0.003,0.001,0.004,0.001
12,-0.003,-0.001,-0.003,-0.003,0.06,-0.01,-0.001,-0.0,-0.002,0.0
