,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.003,-0.006,-0.046,-0.008,-0.02,-0.05,-0.014,-0.009,-0.011,-0.001
2,-0.002,-0.002,-0.038,-0.004,-0.011,-0.039,-0.023,-0.025,-0.01,-0.0
3,0.003,0.006,0.021,0.01,0.017,0.069,0.013,-0.003,0.001,-0.0
4,0.006,0.001,0.013,0.002,-0.01,-0.069,-0.022,-0.03,-0.003,0.001
5,0.003,0.003,0.006,0.007,0.002,-0.041,-0.02,-0.037,0.007,0.001
6,-0.003,0.003,-0.046,0.001,-0.007,-0.082,-0.045,-0.058,-0.006,-0.0
7,-0.004,-0.003,-0.008,-0.004,-0.011,0.032,0.009,0.006,0.002,-0.001
8,-0.004,-0.005,0.083,-0.004,0.012,0.233,0.078,0.087,0.004,-0.001
9,-0.001,0.001,0.009,-0.002,-0.001,-0.029,-0.022,-0.033,0.006,-0.0
10,0.003,0.001,0.016,0.006,0.016,-0.011,0.001,0.009,0.006,0.001
11,0.005,0.005,0.028,0.004,0.021,0.024,0.018,0.03,0.011,0.002
12,-0.004,-0.003,-0.038,-0.007,-0.009,-0.038,0.028,0.064,-0.009,-0.001
