,北海道,東北,関東,北陸信越,中部,近畿,中国,四国,九州,沖縄
1,-0.005,-0.006,-0.094,0.007,-0.032,-0.088,-0.02,-0.027,-0.016,-0.001
2,-0.001,-0.0,-0.033,0.018,-0.022,-0.01,-0.013,-0.032,-0.012,-0.001
3,0.016,0.006,0.051,0.003,0.01,0.011,0.009,0.001,0.001,0.001
4,0.007,0.001,-0.017,-0.005,0.003,-0.03,-0.013,-0.016,0.003,-0.001
5,0.001,0.001,0.059,0.001,0.02,0.047,0.006,-0.009,0.006,-0.0
6,-0.006,-0.0,-0.03,-0.004,-0.004,-0.024,-0.002,-0.029,-0.002,0.0
7,-0.009,-0.003,-0.011,-0.007,-0.006,-0.018,-0.006,0.006,0.001,-0.0
8,-0.008,-0.003,0.09,-0.004,0.018,0.1,0.014,0.071,0.004,-0.001
9,-0.002,0.0,-0.006,-0.006,-0.004,-0.014,0.004,-0.012,0.006,-0.0
10,0.004,0.001,0.016,0.005,0.009,-0.01,0.01,0.024,0.002,0.0
11,0.006,0.004,0.025,0.0,0.02,0.079,0.014,0.01,0.01,0.002
12,-0.005,-0.001,-0.05,-0.008,-0.011,-0.042,-0.004,0.014,-0.004,-0.0
