,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
1,-0.01,-0.01,-0.093,-0.008,-0.033,-0.067,-0.037,0.002,-0.03,0.002
2,-0.009,-0.008,-0.095,-0.009,-0.03,-0.081,-0.056,0.004,-0.024,-0.001
3,0.0,-0.003,-0.022,-0.0,-0.007,0.026,0.002,-0.002,0.005,-0.001
4,0.006,-0.003,-0.042,0.001,-0.012,-0.071,-0.058,-0.009,-0.001,-0.0
5,0.006,0.005,0.005,0.003,0.005,-0.031,-0.04,-0.005,0.009,0.001
6,0.0,0.005,0.012,0.006,-0.007,-0.092,-0.056,-0.011,-0.006,-0.001
7,-0.007,-0.002,-0.019,-0.004,-0.003,0.009,0.0,-0.009,-0.011,-0.002
8,-0.006,-0.006,0.075,-0.002,0.031,0.313,0.128,0.01,-0.005,-0.001
9,0.001,-0.001,0.04,-0.001,-0.006,-0.024,-0.026,-0.005,0.003,0.001
10,0.006,0.01,0.042,0.011,0.008,-0.007,0.021,0.006,0.021,0.0
11,0.019,0.014,0.091,0.008,0.046,0.049,0.042,0.021,0.037,0.002
12,-0.006,0.0,0.008,-0.004,0.008,-0.023,0.078,-0.0,0.001,0.0
