,年月,総計,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,国外,北海道運輸局,東北運輸局,関東運輸局,北陸信越運輸局,中部運輸局,近畿運輸局,中国運輸局,四国運輸局,九州運輸局,沖縄総合事務局,年,月,ファイル名,シート名,施設所在地,経度,緯度
0,2023-12-01,92542.0,293.0,157.0,124.0,182.0,38.0,85.0,149.0,331.0,387.0,320.0,1808.0,1390.0,8005.0,3068.0,231.0,152.0,517.0,396.0,227.0,629.0,2868.0,3206.0,16469.0,11710.0,2477.0,3468.0,13269.0,4640.0,2827.0,925.0,80.0,39.0,437.0,453.0,99.0,328.0,177.0,143.0,96.0,398.0,54.0,52.0,118.0,61.0,66.0,91.0,113.0,4518.0,293.0,735.0,15536.0,1529.0,34649.0,27606.0,1108.0,744.0,840.0,113.0,2023,12,1725251,参考第2表(12月),三重県,136.8659,35.1129
1,2023-11-01,105115.0,760.0,67.0,160.0,354.0,94.0,263.0,497.0,456.0,557.0,563.0,2259.0,1621.0,9616.0,3464.0,328.0,471.0,868.0,673.0,888.0,687.0,2315.0,3142.0,14444.0,8127.0,1917.0,3827.0,15980.0,8597.0,2939.0,1158.0,115.0,108.0,741.0,1213.0,178.0,166.0,352.0,441.0,96.0,1649.0,155.0,105.0,185.0,146.0,83.0,223.0,246.0,6923.0,760.0,1435.0,19424.0,2354.0,28701.0,34418.0,2355.0,1055.0,2546.0,246.0,2023,11,810002999,参考第2表(11月),三重県,136.7184,35.1411
2,2023-10-01,92407.0,965.0,61.0,173.0,344.0,126.0,151.0,177.0,486.0,282.0,442.0,1795.0,1856.0,9051.0,3096.0,300.0,530.0,576.0,568.0,431.0,646.0,2724.0,1641.0,11191.0,7138.0,1842.0,3790.0,14129.0,8485.0,2287.0,870.0,149.0,95.0,612.0,828.0,183.0,161.0,231.0,439.0,86.0,1277.0,73.0,68.0,149.0,347.0,89.0,141.0,146.0,6805.0,965.0,1032.0,17439.0,2052.0,23262.0,31403.0,1867.0,917.0,2144.0,146.0,2023,10,810003002,参考第2表(10月),三重県,136.7310,35.1765
3,2023-09-01,90827.0,633.0,70.0,104.0,306.0,54.0,154.0,159.0,481.0,290.0,499.0,1904.0,1655.0,8505.0,3357.0,218.0,264.0,430.0,345.0,273.0,597.0,2715.0,1657.0,12665.0,7729.0,1794.0,3666.0,16279.0,6211.0,2848.0,965.0,135.0,102.0,483.0,743.0,170.0,169.0,220.0,168.0,56.0,808.0,39.0,164.0,62.0,179.0,62.0,102.0,143.0,5200.0,633.0,847.0,16964.0,1509.0,25111.0,31763.0,1633.0,613.0,1416.0,143.0,2023,9,810003005,参考第2表(9月),三重県,136.7722,35.1352
4,2023-08-01,128606.0,350.0,59.0,72.0,284.0,15.0,62.0,101.0,506.0,317.0,508.0,2909.0,2433.0,10792.0,5228.0,168.0,490.0,675.0,534.0,327.0,845.0,4364.0,3227.0,21084.0,10762.0,3597.0,6184.0,23126.0,9016.0,5721.0,1400.0,151.0,205.0,538.0,769.0,112.0,348.0,459.0,238.0,128.0,621.0,71.0,87.0,114.0,102.0,63.0,70.0,112.0,3140.0,350.0,593.0,23020.0,2178.0,39971.0,49044.0,1775.0,1173.0,1128.0,112.0,2023,8,810003007,参考第2表(8月),三重県,136.7563,35.0859
5,2023-07-01,92709.0,303.0,42.0,62.0,177.0,61.0,53.0,184.0,417.0,355.0,232.0,1850.0,1573.0,7050.0,3034.0,186.0,415.0,615.0,540.0,253.0,888.0,2715.0,1832.0,14424.0,8548.0,2634.0,4675.0,16062.0,5863.0,3330.0,1641.0,89.0,33.0,523.0,815.0,187.0,257.0,249.0,267.0,57.0,955.0,52.0,74.0,103.0,61.0,30.0,66.0,68.0,3427.0,303.0,579.0,14764.0,2104.0,28059.0,34205.0,1647.0,830.0,1341.0,68.0,2023,7,810003009,参考第2表(7月),三重県,136.6501,35.0836
6,2023-06-01,72922.0,806.0,116.0,85.0,467.0,43.0,46.0,279.0,297.0,279.0,312.0,898.0,792.0,7004.0,1811.0,523.0,237.0,533.0,271.0,283.0,581.0,2099.0,1175.0,10835.0,8708.0,1531.0,3132.0,10066.0,3758.0,2080.0,772.0,62.0,100.0,548.0,657.0,155.0,141.0,80.0,130.0,113.0,681.0,115.0,122.0,72.0,36.0,84.0,83.0,204.0,4426.0,806.0,1036.0,11676.0,1874.0,23088.0,21339.0,1522.0,464.0,1193.0,204.0,2023,6,810003011,参考第2表(6月),三重県,136.7782,35.1958
7,2023-05-01,87257.0,1228.0,55.0,66.0,506.0,63.0,113.0,275.0,456.0,381.0,265.0,1822.0,1716.0,8461.0,3036.0,383.0,289.0,571.0,545.0,235.0,648.0,2326.0,1487.0,11461.0,6792.0,1646.0,4641.0,12469.0,5437.0,2621.0,802.0,75.0,96.0,368.0,709.0,155.0,282.0,498.0,363.0,114.0,1320.0,91.0,95.0,191.0,114.0,102.0,202.0,161.0,5518.0,1228.0,1078.0,16372.0,1891.0,22611.0,27616.0,1403.0,1257.0,2115.0,161.0,2023,5,810003013,参考第2表(5月),三重県,136.7944,35.2171
8,2023-04-01,80124.0,1261.0,106.0,43.0,249.0,55.0,57.0,134.0,367.0,336.0,173.0,1406.0,1228.0,6813.0,2513.0,325.0,329.0,583.0,334.0,274.0,454.0,2607.0,1459.0,12292.0,7476.0,1879.0,3135.0,11349.0,5153.0,2272.0,695.0,73.0,31.0,370.0,531.0,109.0,153.0,105.0,265.0,76.0,794.0,58.0,113.0,269.0,67.0,82.0,126.0,130.0,6385.0,1261.0,644.0,13110.0,1691.0,24168.0,24483.0,1114.0,599.0,1509.0,130.0,2023,4,1616669,参考第2表(4月),三重県,136.7884,35.2198
9,2023-03-01,98395.0,565.0,48.0,111.0,428.0,42.0,88.0,126.0,452.0,554.0,315.0,2410.0,2082.0,12752.0,3991.0,350.0,325.0,597.0,382.0,475.0,781.0,3032.0,2057.0,11635.0,8036.0,2183.0,3034.0,14034.0,5322.0,2795.0,1903.0,286.0,477.0,467.0,645.0,145.0,186.0,239.0,467.0,94.0,759.0,71.0,58.0,90.0,142.0,90.0,83.0,151.0,2839.0,565.0,843.0,23031.0,2053.0,25142.0,29271.0,2020.0,986.0,1293.0,151.0,2023,3,1611685,参考第2表(3月),三重県,137.0018,35.1842
