,îNåé,ëçåv,ñkäCìπ,ê¬êXåß,ä‚éËåß,ã{èÈåß,èHìcåß,éRå`åß,ïüìáåß,àÔèÈåß,ì»ñÿåß,åQînåß,çÈã åß,êÁótåß,ìåãûìs,ê_ìﬁêÏåß,êVäÉåß,ïxéRåß,êŒêÏåß,ïüà‰åß,éRóúåß,í∑ñÏåß,äÚïååß,ê√â™åß,à§ímåß,éOèdåß,é†âÍåß,ãûìsï{,ëÂç„ï{,ï∫å…åß,ìﬁó«åß,òaâÃéRåß,íπéÊåß,ìáç™åß,â™éRåß,çLìáåß,éRå˚åß,ìøìáåß,çÅêÏåß,à§ïQåß,çÇímåß,ïüâ™åß,ç≤âÍåß,í∑çËåß,åFñ{åß,ëÂï™åß,ã{çËåß,é≠éôìáåß,â´ìÍåß,çëäO,ñkäCìπâ^óAã«,ìåñkâ^óAã«,ä÷ìåâ^óAã«,ñkó§êMâzâ^óAã«,íÜïîâ^óAã«,ãﬂãEâ^óAã«,íÜçëâ^óAã«,élçëâ^óAã«,ã„èBâ^óAã«,â´ìÍëççáéññ±ã«,îN,åé,ÉtÉ@ÉCÉãñº,ÉVÅ[Égñº,é{ê›èäç›ín,åoìx,à‹ìx
0,2024-12-01,341742.0,1847.0,1517.0,692.0,4392.0,269.0,332.0,398.0,1143.0,778.0,1157.0,5534.0,5105.0,34563.0,10618.0,2098.0,728.0,836.0,586.0,607.0,1271.0,1156.0,3665.0,6156.0,1351.0,1339.0,7876.0,6560.0,4396.0,998.0,591.0,332.0,293.0,1000.0,3082.0,583.0,479.0,719.0,719.0,497.0,12641.0,314.0,434.0,3692.0,1712.0,567.0,682.0,1745.0,126786.0,1847.0,7600.0,59505.0,4933.0,12914.0,21760.0,5290.0,2414.0,20042.0,1745.0,2024,12,1867106,éQçlëÊ2ï\(12åé),ãûìsï{,136.9431,35.2887
1,2024-11-01,368693.0,3465.0,296.0,1332.0,3452.0,1058.0,888.0,1392.0,2113.0,2311.0,2400.0,6197.0,5501.0,41336.0,12365.0,1549.0,822.0,987.0,597.0,515.0,1663.0,1454.0,3304.0,7294.0,1208.0,838.0,8189.0,5863.0,3552.0,678.0,622.0,361.0,603.0,1130.0,2701.0,959.0,576.0,876.0,840.0,671.0,4862.0,385.0,770.0,1699.0,7813.0,1076.0,1343.0,749.0,161859.0,3465.0,8418.0,72738.0,5021.0,13857.0,19742.0,5754.0,2963.0,17948.0,749.0,2024,11,1860296,éQçlëÊ2ï\(11åé),ãûìsï{,137.4365,35.4911
2,2024-10-01,376206.0,14240.0,1060.0,320.0,846.0,557.0,465.0,2067.0,1047.0,3144.0,2637.0,4356.0,6310.0,35017.0,8172.0,1172.0,1000.0,866.0,571.0,694.0,1420.0,1354.0,2934.0,8447.0,1162.0,998.0,8717.0,5577.0,3087.0,655.0,555.0,423.0,700.0,1325.0,1906.0,639.0,474.0,933.0,1258.0,308.0,3410.0,379.0,906.0,831.0,520.0,438.0,583.0,637.0,171621.0,14240.0,5315.0,61377.0,4458.0,14468.0,19589.0,4993.0,2973.0,7067.0,637.0,2024,10,1853929,éQçlëÊ2ï\(10åé),ãûìsï{,137.9944,36.2224
3,2024-09-01,275042.0,2356.0,248.0,166.0,461.0,145.0,375.0,1196.0,1129.0,1547.0,1342.0,4969.0,4741.0,32791.0,7341.0,2657.0,621.0,706.0,630.0,405.0,866.0,761.0,1921.0,4883.0,1218.0,996.0,6314.0,6312.0,3901.0,1118.0,637.0,358.0,2084.0,1025.0,1561.0,595.0,366.0,700.0,476.0,393.0,4148.0,300.0,483.0,775.0,451.0,265.0,627.0,373.0,107538.0,2356.0,2591.0,54265.0,4850.0,9413.0,19278.0,5623.0,1935.0,7049.0,373.0,2024,9,1845514,éQçlëÊ2ï\(9åé),ãûìsï{,137.5936,35.5313
4,2024-08-01,290302.0,1948.0,138.0,154.0,589.0,243.0,450.0,422.0,1271.0,975.0,1046.0,5917.0,4211.0,32708.0,9638.0,955.0,987.0,1004.0,881.0,503.0,1255.0,1422.0,2745.0,6617.0,1625.0,1632.0,9049.0,8554.0,5853.0,1511.0,1039.0,553.0,428.0,1395.0,1918.0,514.0,452.0,707.0,734.0,496.0,2967.0,327.0,430.0,533.0,428.0,476.0,501.0,532.0,114666.0,1948.0,1996.0,56269.0,4201.0,13290.0,27638.0,4808.0,2389.0,5662.0,532.0,2024,8,1840259,éQçlëÊ2ï\(8åé),ãûìsï{,137.5080,35.4015
5,2024-07-01,299562.0,1482.0,202.0,140.0,672.0,170.0,205.0,405.0,901.0,640.0,810.0,4263.0,5130.0,30410.0,6952.0,488.0,705.0,821.0,612.0,296.0,1295.0,1130.0,1863.0,5111.0,1026.0,1111.0,7276.0,5961.0,4284.0,882.0,649.0,251.0,312.0,999.0,1386.0,470.0,358.0,603.0,457.0,253.0,2338.0,246.0,352.0,689.0,365.0,324.0,267.0,427.0,141465.0,1482.0,1794.0,49402.0,3309.0,9742.0,20163.0,3418.0,1671.0,4581.0,427.0,2024,7,1765039,éQçlëÊ2ï\(7åé),ãûìsï{,137.6863,35.4339
6,2024-06-01,308902.0,1962.0,231.0,209.0,805.0,243.0,463.0,530.0,3075.0,1166.0,4509.0,7682.0,5694.0,29197.0,16244.0,887.0,634.0,765.0,701.0,463.0,866.0,1052.0,2575.0,4607.0,1135.0,1061.0,8029.0,6362.0,3887.0,732.0,592.0,481.0,439.0,1117.0,1870.0,531.0,442.0,541.0,673.0,300.0,2672.0,220.0,580.0,979.0,580.0,211.0,381.0,380.0,134728.0,1962.0,2481.0,68030.0,3152.0,10070.0,20663.0,4438.0,1956.0,5623.0,380.0,2024,6,1760851,éQçlëÊ2ï\(6åé),ãûìsï{,137.9103,35.5195
7,2024-05-01,332985.0,2613.0,346.0,275.0,821.0,323.0,392.0,427.0,4898.0,1536.0,2949.0,9793.0,7983.0,35595.0,17476.0,1307.0,930.0,892.0,621.0,762.0,1586.0,1151.0,11546.0,5525.0,1203.0,947.0,7245.0,5593.0,3597.0,752.0,556.0,408.0,400.0,1178.0,2177.0,1362.0,464.0,683.0,731.0,380.0,3535.0,405.0,553.0,971.0,792.0,330.0,455.0,440.0,136400.0,2613.0,2584.0,80992.0,4715.0,20046.0,18690.0,5525.0,2258.0,7041.0,440.0,2024,5,1757460,éQçlëÊ2ï\(5åé),ãûìsï{,138.0278,35.5257
8,2024-04-01,309740.0,2546.0,370.0,176.0,946.0,158.0,319.0,1019.0,2290.0,838.0,713.0,3624.0,3328.0,30432.0,8051.0,808.0,571.0,686.0,574.0,490.0,3297.0,773.0,5929.0,4309.0,957.0,651.0,5718.0,4056.0,2711.0,556.0,403.0,390.0,265.0,890.0,1313.0,511.0,288.0,671.0,2115.0,735.0,3317.0,421.0,425.0,597.0,492.0,240.0,441.0,365.0,149481.0,2546.0,2988.0,49766.0,5362.0,12542.0,14095.0,3369.0,3809.0,5933.0,365.0,2024,4,1750677,éQçlëÊ2ï\(4åé),ãûìsï{,137.7556,35.5546
9,2024-03-01,333345.0,3647.0,476.0,508.0,872.0,425.0,486.0,547.0,1420.0,998.0,1189.0,5332.0,6205.0,39012.0,11391.0,2636.0,969.0,1142.0,809.0,644.0,1665.0,1368.0,3138.0,7573.0,1396.0,1337.0,8184.0,7896.0,4584.0,1043.0,808.0,434.0,438.0,1188.0,2222.0,843.0,519.0,959.0,1098.0,461.0,4868.0,581.0,486.0,991.0,586.0,372.0,1471.0,1189.0,129587.0,3647.0,3314.0,66191.0,6412.0,14284.0,23852.0,5125.0,3037.0,9355.0,1189.0,2024,3,1745072,éQçlëÊ2ï\(3åé),ãûìsï{,137.5348,35.4842
